,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,北海道日本ハム,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,81.0,18,18.0,2.0,10.0,0.0,14.0,0.0,0.0,11.0,11.0,5.5
1,2011,北海道日本ハム,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,11,10.0,1.0,4.0,0.0,7.0,0.0,1.0,3.0,3.0,2.45
2,2012,北海道日本ハム,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,184.0,45.1,36.0,2.0,16.0,1.0,29.0,1.0,0.0,10.0,9.0,1.79
3,2013,北海道日本ハム,13.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,192.0,44,46.0,3.0,25.0,3.0,18.0,1.0,0.0,25.0,25.0,5.11
4,2014,北海道日本ハム,18.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,420.0,97.1,89.0,12.0,48.0,5.0,43.0,1.0,0.0,43.0,41.0,3.79
5,2015,北海道日本ハム,10.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33299999999999996,218.0,49.2,41.0,5.0,33.0,3.0,26.0,0.0,0.0,23.0,23.0,4.17
6,2016,北海道日本ハム,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,12,10.0,2.0,6.0,0.0,9.0,1.0,0.0,8.0,8.0,6.0
7,2017,北海道日本ハム,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,10,9.0,2.0,9.0,1.0,4.0,0.0,0.0,5.0,5.0,4.5
8,2019,北海道日本ハム,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2,3.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,27.0
9,2022,オリックス,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.1,12.0,0.0,3.0,1.0,4.0,0.0,0.0,6.0,6.0,8.53
10,nan,通　算,63.0,15.0,18.0,0.0,0.0,0.0,2.0,1.0,0.0,0.455,1289.0,295.2,274.0,30.0,158.0,14.0,154.0,4.0,1.0,140.0,137.0,4.17
