,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,オリックス,50,103,88,8,14,5,0,0,19,4,2,2,6,2,7,0,23,0,0.159,0.21600000000000003,0.21600000000000003
1,2013,オリックス,131,470,395,52,93,13,2,5,125,30,16,5,38,1,27,9,80,4,0.235,0.316,0.299
2,2014,オリックス,143,601,486,73,126,13,5,8,173,50,29,10,45,4,58,8,79,8,0.259,0.35600000000000004,0.345
3,2015,オリックス,139,593,506,57,121,16,3,11,176,55,16,15,29,4,48,6,68,11,0.239,0.348,0.31
4,2016,オリックス,118,488,403,51,110,15,1,1,130,34,6,6,35,4,42,4,53,4,0.273,0.32299999999999995,0.344
5,2017,オリックス,109,380,316,40,64,9,3,3,88,26,4,3,17,0,37,10,61,5,0.203,0.278,0.306
6,2018,オリックス,140,514,465,44,102,12,3,3,129,41,20,5,16,5,25,3,64,8,0.21899999999999997,0.27699999999999997,0.261
7,2019,オリックス,56,179,155,18,43,6,1,2,57,20,10,2,4,1,18,1,29,5,0.27699999999999997,0.368,0.354
8,2020,オリックス,78,311,266,32,77,9,2,2,96,23,15,4,16,2,26,1,48,9,0.289,0.361,0.353
9,2021,オリックス,100,382,321,36,83,14,0,0,97,18,5,4,14,1,46,0,65,7,0.259,0.302,0.35100000000000003
10,2022,オリックス,65,243,206,19,54,7,1,1,66,18,3,0,8,1,26,2,46,3,0.262,0.32,0.349
11,nan,通　算,1129,4264,3607,430,887,119,21,36,1156,319,126,56,228,25,360,44,616,64,0.24600000000000002,0.32,0.32
