,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,中　日,13,15,14,0,1,0,0,0,1,0,0,0,0,0,1,0,8,0,0.071,0.071,0.133
1,2011,中　日,10,13,11,2,3,0,0,0,3,0,0,0,2,0,0,0,4,0,0.273,0.273,0.273
2,2012,中　日,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,0.0,0.33299999999999996
3,2013,中　日,45,72,63,4,9,2,0,0,11,3,1,0,3,0,6,0,15,0,0.14300000000000002,0.175,0.217
4,2014,中　日,67,162,142,10,25,3,1,1,33,4,3,1,4,0,16,0,47,3,0.17600000000000002,0.23199999999999998,0.259
5,2015,中　日,51,146,133,4,18,4,0,0,22,7,2,1,6,0,5,2,43,3,0.135,0.165,0.179
6,2016,中　日,4,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0.14300000000000002,0.14300000000000002,0.14300000000000002
7,2017,中　日,87,244,208,22,46,7,1,2,61,17,0,0,10,1,22,3,63,3,0.221,0.293,0.303
8,2018,中　日,92,260,218,18,50,7,1,2,65,22,0,0,7,3,30,2,51,5,0.22899999999999998,0.298,0.324
9,2019,中　日,20,39,33,3,7,2,0,0,9,2,0,0,2,0,4,0,12,1,0.212,0.273,0.297
10,2019,オリックス,24,42,36,5,7,0,0,0,7,2,0,0,3,0,3,0,7,0,0.19399999999999998,0.19399999999999998,0.256
11,2020,オリックス,23,40,36,5,8,2,0,1,13,4,0,0,0,0,3,1,7,2,0.222,0.361,0.3
12,2021,オリックス,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
13,2022,オリックス,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
14,nan,通　算,456,1051,911,74,175,27,3,6,226,61,6,2,37,4,90,9,265,17,0.192,0.248,0.27
