,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2005,阪　神,16.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8,293.0,64.2,78.0,10.0,27.0,1.0,64.0,3.0,0.0,40.0,40.0,5.57
1,2006,阪　神,38.0,2.0,4.0,0.0,8.0,9.0,0.0,0.0,0.0,0.33299999999999996,210.0,47,49.0,4.0,16.0,3.0,46.0,2.0,0.0,27.0,26.0,4.98
2,2007,阪　神,23.0,4.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,0.5,330.0,74,79.0,7.0,30.0,4.0,51.0,2.0,0.0,39.0,36.0,4.38
3,2008,阪　神,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,11.1,15.0,1.0,6.0,0.0,10.0,1.0,0.0,6.0,6.0,4.76
4,2009,阪　神,28.0,13.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.591,675.0,165,142.0,11.0,44.0,5.0,154.0,3.0,1.0,61.0,48.0,2.62
5,2010,阪　神,12.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,267.0,62.1,63.0,3.0,13.0,5.0,57.0,2.0,0.0,23.0,18.0,2.6
6,2011,阪　神,29.0,12.0,9.0,0.0,1.0,1.0,5.0,1.0,1.0,0.5710000000000001,799.0,200.1,151.0,8.0,55.0,6.0,186.0,3.0,0.0,59.0,56.0,2.52
7,2012,阪　神,29.0,10.0,10.0,0.0,0.0,0.0,3.0,2.0,1.0,0.5,737.0,182,157.0,14.0,37.0,3.0,172.0,5.0,0.0,61.0,49.0,2.42
8,2013,阪　神,25.0,11.0,7.0,0.0,0.0,0.0,6.0,2.0,1.0,0.611,724.0,180.2,155.0,18.0,41.0,0.0,127.0,5.0,0.0,57.0,54.0,2.69
9,2014,阪　神,26.0,9.0,13.0,0.0,0.0,0.0,3.0,1.0,0.0,0.409,720.0,169.1,170.0,16.0,48.0,3.0,151.0,9.0,0.0,81.0,75.0,3.99
10,2015,阪　神,27.0,11.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.45799999999999996,672.0,159.2,170.0,13.0,38.0,2.0,125.0,6.0,0.0,73.0,66.0,3.72
11,2016,阪　神,26.0,8.0,12.0,0.0,1.0,1.0,2.0,1.0,0.0,0.4,634.0,147.1,140.0,17.0,52.0,6.0,126.0,5.0,1.0,67.0,60.0,3.67
12,2017,阪　神,23.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,533.0,128.1,117.0,14.0,40.0,2.0,119.0,2.0,1.0,57.0,53.0,3.72
13,2018,阪　神,45.0,4.0,3.0,1.0,16.0,20.0,0.0,0.0,0.0,0.5710000000000001,229.0,56.1,40.0,5.0,19.0,3.0,48.0,6.0,0.0,23.0,16.0,2.56
14,2019,阪　神,51.0,1.0,2.0,0.0,18.0,19.0,0.0,0.0,0.0,0.33299999999999996,191.0,44,37.0,5.0,24.0,1.0,41.0,2.0,0.0,21.0,21.0,4.3
15,2020,阪　神,34.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,109.0,24.2,25.0,6.0,12.0,1.0,19.0,1.0,0.0,14.0,13.0,4.74
16,2021,オリックス,26.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,103.0,22.1,26.0,2.0,11.0,3.0,19.0,0.0,0.0,11.0,10.0,4.03
17,2022,オリックス,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,3.2,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.45
18,nan,通　算,474.0,104.0,93.0,4.0,57.0,65.0,24.0,10.0,5.0,0.528,7295.0,1743,1616.0,154.0,515.0,48.0,1517.0,57.0,3.0,721.0,648.0,3.35
