,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,オリックス,3,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.16699999999999998,0.16699999999999998,0.16699999999999998
1,2009,オリックス,43,157,139,18,22,2,0,7,45,13,0,1,1,0,13,4,59,4,0.158,0.324,0.25
2,2010,オリックス,129,520,461,70,131,31,2,33,265,96,0,0,0,4,49,6,136,11,0.284,0.575,0.358
3,2011,オリックス,134,550,492,61,128,26,0,16,202,85,4,0,0,4,39,15,116,10,0.26,0.41100000000000003,0.331
4,2012,オリックス,103,404,378,46,106,22,0,10,158,56,4,3,0,0,22,4,81,5,0.28,0.418,0.327
5,2013,オリックス,58,207,189,17,42,10,1,4,66,18,2,1,0,2,15,1,42,6,0.222,0.349,0.28
6,2014,オリックス,130,533,472,67,127,28,0,24,227,75,4,4,5,2,37,17,107,10,0.26899999999999996,0.48100000000000004,0.34299999999999997
7,2015,オリックス,105,416,389,44,109,19,2,11,165,51,2,0,0,4,17,6,80,9,0.28,0.424,0.317
8,2016,オリックス,123,513,454,56,129,25,0,20,214,76,5,1,0,5,47,7,105,12,0.284,0.47100000000000003,0.35700000000000004
9,2017,オリックス,143,593,504,77,134,19,0,31,246,68,2,1,0,1,83,5,141,10,0.266,0.488,0.374
10,2018,オリックス,97,333,298,31,67,11,0,13,117,43,2,2,0,2,31,2,82,9,0.225,0.39299999999999996,0.3
11,2019,オリックス,20,56,50,4,6,0,0,1,9,2,0,0,0,0,6,0,19,3,0.12,0.18,0.214
12,2020,オリックス,100,377,328,36,84,18,0,16,150,55,5,3,0,5,40,4,87,11,0.256,0.457,0.34
13,2021,オリックス,115,407,357,45,86,16,1,17,155,63,2,3,0,5,35,10,86,2,0.24100000000000002,0.434,0.322
14,nan,通　算,1303,5072,4517,572,1172,227,6,203,2020,701,32,19,6,34,434,81,1144,102,0.259,0.447,0.33299999999999996
