,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,オリックス,31.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,245.0,56.1,63.0,2.0,20.0,1.0,30.0,0.0,1.0,19.0,19.0,3.04
1,2013,オリックス,35.0,2.0,5.0,0.0,5.0,6.0,0.0,0.0,0.0,0.28600000000000003,330.0,78.1,80.0,7.0,24.0,0.0,44.0,2.0,0.0,37.0,34.0,3.91
2,2014,オリックス,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,19,26.0,1.0,4.0,2.0,11.0,1.0,0.0,17.0,16.0,7.58
3,2015,オリックス,48.0,2.0,2.0,0.0,8.0,10.0,0.0,0.0,0.0,0.5,180.0,41.1,38.0,3.0,15.0,2.0,27.0,0.0,0.0,15.0,12.0,2.61
4,2016,オリックス,50.0,1.0,3.0,0.0,15.0,16.0,0.0,0.0,0.0,0.25,185.0,45.1,40.0,1.0,12.0,0.0,31.0,0.0,0.0,14.0,14.0,2.78
5,2017,オリックス,12.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,46.0,10.2,8.0,1.0,7.0,0.0,5.0,0.0,0.0,7.0,7.0,5.91
6,2018,オリックス,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,13.5
7,2019,オリックス,55.0,1.0,2.0,0.0,22.0,23.0,0.0,0.0,0.0,0.33299999999999996,196.0,49,41.0,1.0,11.0,2.0,33.0,1.0,0.0,15.0,10.0,1.84
8,2020,オリックス,6.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,4.1,8.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,7.0,14.54
9,2021,オリックス,16.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,43.0,10.1,8.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,3.0,2.61
10,nan,通　算,276.0,6.0,20.0,0.0,61.0,66.0,0.0,0.0,0.0,0.231,1349.0,317.1,317.0,16.0,98.0,7.0,190.0,4.0,1.0,138.0,126.0,3.57
