,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,オリックス,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
1,2012,オリックス,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,17.1,19.0,3.0,9.0,1.0,7.0,1.0,0.0,12.0,11.0,5.71
2,2013,オリックス,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,20.25
3,2015,オリックス,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,16.1,17.0,1.0,13.0,1.0,12.0,0.0,0.0,11.0,10.0,5.51
4,2016,オリックス,12.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,245.0,58.1,63.0,7.0,19.0,0.0,43.0,0.0,0.0,35.0,32.0,4.94
5,2017,オリックス,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,12.1,21.0,2.0,10.0,2.0,13.0,1.0,0.0,16.0,12.0,8.76
6,2018,オリックス,30.0,1.0,2.0,0.0,10.0,11.0,0.0,0.0,0.0,0.33299999999999996,84.0,21.1,14.0,1.0,6.0,0.0,20.0,0.0,0.0,10.0,9.0,3.8
7,2019,オリックス,40.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,172.0,43,31.0,6.0,18.0,0.0,44.0,1.0,0.0,17.0,17.0,3.56
8,2020,オリックス,48.0,4.0,5.0,0.0,18.0,22.0,0.0,0.0,0.0,0.444,170.0,39.1,37.0,1.0,19.0,0.0,44.0,0.0,0.0,20.0,17.0,3.89
9,nan,通　算,149.0,7.0,20.0,0.0,33.0,38.0,0.0,0.0,0.0,0.259,921.0,212.1,211.0,21.0,95.0,5.0,184.0,3.0,0.0,125.0,112.0,4.75
