,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2005,福岡ソフトバンク,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5
1,2006,福岡ソフトバンク,105,284,245,17,56,7,0,1,66,19,1,0,19,2,17,1,72,3,0.22899999999999998,0.26899999999999996,0.27899999999999997
2,2007,福岡ソフトバンク,100,213,184,15,34,2,0,0,36,6,2,0,21,0,7,1,53,3,0.185,0.196,0.21899999999999997
3,2008,福岡ソフトバンク,60,111,97,5,13,3,0,0,16,7,0,0,8,1,5,0,21,0,0.134,0.165,0.175
4,2009,福岡ソフトバンク,30,33,27,4,5,3,1,0,10,2,0,0,6,0,0,0,5,0,0.185,0.37,0.185
5,2010,福岡ソフトバンク,77,236,205,12,43,9,0,2,58,18,0,0,16,1,11,2,71,2,0.21,0.28300000000000003,0.256
6,2011,福岡ソフトバンク,86,168,148,6,28,7,0,0,35,13,0,0,14,1,5,0,45,4,0.18899999999999997,0.23600000000000002,0.214
7,2012,福岡ソフトバンク,85,98,86,6,17,6,0,0,23,2,0,0,6,0,6,0,22,0,0.198,0.267,0.25
8,2013,福岡ソフトバンク,91,168,139,14,35,8,1,1,48,20,0,0,12,3,10,4,30,0,0.252,0.345,0.314
9,2014,オリックス,60,79,65,3,7,1,0,0,8,4,0,0,11,0,2,1,20,0,0.10800000000000001,0.12300000000000001,0.147
10,2015,オリックス,79,188,147,12,30,5,0,0,35,14,1,1,19,1,13,8,31,2,0.204,0.23800000000000002,0.302
11,2016,オリックス,43,80,66,2,10,1,0,0,11,0,0,0,11,0,3,0,16,0,0.152,0.16699999999999998,0.188
12,2017,オリックス,17,22,18,1,2,2,0,0,4,2,0,0,2,0,2,0,4,0,0.111,0.222,0.2
13,2018,オリックス,81,104,92,6,19,4,0,0,23,5,0,1,8,0,4,0,21,2,0.207,0.25,0.24
14,2019,オリックス,24,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.0,0.0,0.0
15,2020,オリックス,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
16,nan,通　算,943,1795,1530,103,300,58,2,4,374,112,4,2,153,9,85,17,417,17,0.196,0.244,0.245
