,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,中　日,35,56,55,2,16,2,0,0,18,3,0,0,0,0,1,0,15,1,0.29100000000000004,0.327,0.304
1,2011,中　日,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0.125,0.125,0.125
2,2012,中　日,42,67,65,5,15,4,0,1,22,6,0,1,2,0,0,0,13,0,0.231,0.33799999999999997,0.231
3,2013,中　日,43,91,81,7,14,3,0,1,20,11,0,0,5,2,2,1,16,3,0.17300000000000001,0.247,0.198
4,2014,中　日,52,102,96,11,24,7,0,2,37,6,1,0,2,0,2,2,27,3,0.25,0.385,0.28
5,2015,中　日,30,32,31,0,6,0,0,0,6,0,0,0,1,0,0,0,6,0,0.19399999999999998,0.19399999999999998,0.19399999999999998
6,2016,中　日,14,21,21,1,4,2,0,0,6,0,0,0,0,0,0,0,8,0,0.19,0.28600000000000003,0.19
7,2017,中　日,56,129,119,17,33,7,0,4,52,18,0,0,1,0,6,3,38,2,0.27699999999999997,0.43700000000000006,0.32799999999999996
8,2018,中　日,17,22,22,2,3,0,0,0,3,0,0,0,0,0,0,0,12,0,0.136,0.136,0.136
9,2019,中　日,16,37,32,3,7,2,0,0,9,2,0,0,2,0,3,0,13,0,0.21899999999999997,0.281,0.28600000000000003
10,2019,オリックス,7,18,18,2,6,1,0,1,10,1,0,0,0,0,0,0,3,1,0.33299999999999996,0.556,0.33299999999999996
11,2020,オリックス,29,53,53,2,11,2,1,0,15,2,0,0,0,0,0,0,12,1,0.20800000000000002,0.28300000000000003,0.20800000000000002
12,nan,通　算,345,636,601,52,140,30,1,9,199,49,1,1,13,2,14,6,167,11,0.233,0.331,0.257
