,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,オリックス,24.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.667,78.0,21.2,14.0,0.0,1.0,1.0,12.0,0.0,0.0,3.0,3.0,1.25
1,2011,オリックス,23.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,105.0,22.2,28.0,3.0,6.0,2.0,21.0,0.0,1.0,21.0,18.0,7.15
2,2012,オリックス,12.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,34.0,10,8.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,1.8
3,2013,オリックス,59.0,4.0,3.0,0.0,11.0,15.0,0.0,0.0,0.0,0.5710000000000001,235.0,59.1,52.0,4.0,11.0,1.0,54.0,0.0,0.0,15.0,14.0,2.12
4,2014,オリックス,62.0,7.0,1.0,0.0,20.0,27.0,0.0,0.0,0.0,0.875,231.0,56.2,53.0,2.0,12.0,1.0,48.0,0.0,0.0,9.0,5.0,0.79
5,2015,オリックス,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,34.0,5,16.0,1.0,2.0,1.0,5.0,0.0,0.0,9.0,9.0,16.2
6,2016,オリックス,16.0,1.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.5,43.0,9.1,13.0,3.0,3.0,0.0,10.0,0.0,0.0,5.0,5.0,4.82
7,2017,オリックス,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,8.1,6.0,2.0,0.0,0.0,12.0,0.0,0.0,3.0,3.0,3.24
8,2018,オリックス,43.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,135.0,35.1,25.0,3.0,7.0,3.0,22.0,0.0,0.0,10.0,8.0,2.04
9,2019,オリックス,45.0,3.0,2.0,1.0,8.0,11.0,0.0,0.0,0.0,0.6,141.0,33.1,32.0,5.0,11.0,2.0,36.0,0.0,0.0,19.0,17.0,4.59
10,2020,オリックス,20.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,49.0,12.2,5.0,1.0,5.0,1.0,11.0,0.0,0.0,1.0,1.0,0.71
11,2021,オリックス,32.0,1.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1.0,75.0,20.1,14.0,2.0,4.0,0.0,15.0,0.0,0.0,4.0,4.0,1.77
12,nan,通　算,352.0,19.0,11.0,2.0,82.0,101.0,0.0,0.0,0.0,0.633,1191.0,294.2,266.0,26.0,62.0,12.0,251.0,0.0,2.0,101.0,89.0,2.72
