,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,オリックス,26.0,7.0,11.0,0.0,0.0,0.0,10.0,4.0,0.0,0.389,730.0,172.1,182.0,12.0,39.0,6.0,105.0,3.0,2.0,82.0,73.0,3.81
1,2007,オリックス,27.0,8.0,13.0,0.0,0.0,0.0,2.0,2.0,1.0,0.381,710.0,171.2,172.0,18.0,28.0,5.0,124.0,1.0,0.0,75.0,71.0,3.72
2,2009,オリックス,20.0,3.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,0.2,495.0,114.1,129.0,14.0,38.0,0.0,91.0,2.0,0.0,60.0,60.0,4.72
3,2010,オリックス,63.0,7.0,2.0,2.0,32.0,39.0,0.0,0.0,0.0,0.778,334.0,80.2,67.0,4.0,28.0,1.0,101.0,3.0,0.0,19.0,15.0,1.67
4,2011,オリックス,72.0,6.0,2.0,2.0,43.0,49.0,0.0,0.0,0.0,0.75,317.0,83.2,48.0,4.0,17.0,2.0,99.0,5.0,0.0,18.0,18.0,1.94
5,2012,オリックス,70.0,7.0,4.0,9.0,21.0,28.0,0.0,0.0,0.0,0.636,307.0,79.2,65.0,4.0,5.0,2.0,80.0,6.0,0.0,21.0,19.0,2.15
6,2013,オリックス,60.0,2.0,5.0,31.0,9.0,11.0,0.0,0.0,0.0,0.28600000000000003,258.0,62.2,57.0,2.0,14.0,1.0,71.0,1.0,0.0,16.0,13.0,1.87
7,2014,オリックス,62.0,1.0,6.0,40.0,8.0,9.0,0.0,0.0,0.0,0.14300000000000002,238.0,60.1,52.0,6.0,13.0,0.0,70.0,1.0,1.0,23.0,23.0,3.43
8,2015,オリックス,33.0,0.0,3.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,136.0,31,29.0,4.0,14.0,1.0,39.0,5.0,0.0,14.0,14.0,4.06
9,2016,オリックス,58.0,4.0,4.0,31.0,8.0,12.0,0.0,0.0,0.0,0.5,237.0,61,44.0,2.0,16.0,1.0,57.0,4.0,0.0,13.0,13.0,1.92
10,2017,オリックス,58.0,3.0,7.0,29.0,8.0,11.0,0.0,0.0,0.0,0.3,240.0,57.1,57.0,5.0,16.0,1.0,47.0,2.0,0.0,19.0,17.0,2.67
11,2021,オリックス,46.0,1.0,3.0,29.0,3.0,4.0,0.0,0.0,0.0,0.25,163.0,43,30.0,4.0,9.0,0.0,37.0,1.0,0.0,11.0,11.0,2.3
12,2022,オリックス,48.0,3.0,2.0,28.0,8.0,11.0,0.0,0.0,0.0,0.6,175.0,46,25.0,3.0,12.0,2.0,42.0,1.0,0.0,8.0,8.0,1.57
13,nan,通　算,643.0,52.0,74.0,213.0,150.0,184.0,14.0,7.0,1.0,0.413,4340.0,1063.2,957.0,82.0,249.0,22.0,963.0,35.0,3.0,379.0,355.0,3.0
