,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,北海道日本ハム,13.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,274.0,60,62.0,9.0,31.0,4.0,34.0,5.0,0.0,31.0,29.0,4.35
1,2011,北海道日本ハム,56.0,0.0,4.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,216.0,53.2,38.0,2.0,19.0,0.0,58.0,3.0,1.0,11.0,11.0,1.84
2,2012,北海道日本ハム,73.0,5.0,5.0,7.0,45.0,50.0,0.0,0.0,0.0,0.5,298.0,71.2,65.0,2.0,25.0,0.0,69.0,4.0,0.0,26.0,22.0,2.76
3,2013,北海道日本ハム,66.0,4.0,4.0,4.0,28.0,32.0,0.0,0.0,0.0,0.5,273.0,63,71.0,3.0,16.0,3.0,63.0,2.0,0.0,28.0,26.0,3.71
4,2014,北海道日本ハム,56.0,5.0,6.0,23.0,10.0,15.0,0.0,0.0,0.0,0.455,243.0,58,47.0,5.0,24.0,1.0,59.0,5.0,0.0,16.0,16.0,2.48
5,2015,北海道日本ハム,56.0,0.0,1.0,39.0,4.0,4.0,0.0,0.0,0.0,0.0,238.0,60,44.0,1.0,19.0,0.0,71.0,4.0,1.0,11.0,10.0,1.5
6,2016,北海道日本ハム,30.0,10.0,3.0,10.0,1.0,5.0,2.0,1.0,0.0,0.769,333.0,81,71.0,5.0,26.0,3.0,71.0,3.0,0.0,22.0,22.0,2.44
7,2017,北海道日本ハム,52.0,6.0,1.0,27.0,7.0,13.0,0.0,0.0,0.0,0.857,215.0,52.2,47.0,6.0,11.0,0.0,82.0,5.0,0.0,15.0,14.0,2.39
8,2018,オリックス,63.0,2.0,5.0,35.0,9.0,11.0,0.0,0.0,0.0,0.28600000000000003,278.0,65,55.0,4.0,33.0,1.0,69.0,7.0,0.0,18.0,18.0,2.49
9,2019,オリックス,53.0,1.0,4.0,18.0,14.0,15.0,0.0,0.0,0.0,0.2,230.0,50.1,51.0,5.0,24.0,1.0,64.0,1.0,0.0,29.0,27.0,4.83
10,2020,オリックス,16.0,2.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.5,153.0,35.2,27.0,3.0,20.0,1.0,29.0,1.0,0.0,13.0,12.0,3.03
11,2021,オリックス,15.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33299999999999996,309.0,71,77.0,8.0,29.0,2.0,45.0,2.0,0.0,47.0,39.0,4.94
12,nan,通　算,549.0,41.0,45.0,163.0,158.0,185.0,2.0,1.0,0.0,0.47700000000000004,3060.0,722,655.0,53.0,277.0,16.0,714.0,42.0,2.0,267.0,246.0,3.07
