,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,オリックス,30,47,40,4,4,1,0,0,5,1,0,1,6,0,1,0,13,0,0.1,0.125,0.122
1,2012,オリックス,32,31,29,6,4,0,0,0,4,0,0,0,2,0,0,0,9,2,0.138,0.138,0.138
2,2013,オリックス,117,221,201,24,40,8,0,3,57,12,4,1,6,1,13,0,38,0,0.19899999999999998,0.284,0.247
3,2014,オリックス,127,277,246,30,69,11,3,5,101,30,5,3,12,0,17,2,55,3,0.28,0.41100000000000003,0.332
4,2015,オリックス,135,382,334,31,78,8,2,2,96,31,8,9,15,3,24,6,69,4,0.23399999999999999,0.287,0.294
5,2016,オリックス,105,239,214,17,41,5,0,1,49,9,3,3,12,0,11,2,40,2,0.192,0.22899999999999998,0.23800000000000002
6,2017,オリックス,129,329,296,29,71,16,7,2,107,27,4,3,13,4,15,1,76,3,0.24,0.361,0.275
7,2018,オリックス,33,43,37,7,8,0,0,0,8,4,2,1,1,0,3,2,12,0,0.21600000000000003,0.21600000000000003,0.31
8,2019,オリックス,91,194,165,17,37,7,3,1,53,22,4,3,6,1,19,3,47,1,0.22399999999999998,0.321,0.314
9,2020,オリックス,23,62,50,4,6,0,0,0,6,1,2,0,4,0,8,0,17,0,0.12,0.12,0.24100000000000002
10,2021,オリックス,56,17,16,3,2,0,0,1,5,1,2,1,0,0,1,0,6,0,0.125,0.313,0.17600000000000002
11,nan,通　算,878,1842,1628,172,360,56,15,15,491,138,34,25,77,9,112,16,382,15,0.221,0.302,0.276
