,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,オリックス,29,91,87,8,19,0,0,0,19,2,1,1,1,0,3,0,19,2,0.218,0.218,0.244
1,2013,オリックス,17,22,22,1,1,1,0,0,2,0,1,0,0,0,0,0,8,0,0.045,0.091,0.045
2,2014,オリックス,10,1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0.0,0.0,0.0
3,2015,オリックス,41,52,47,8,8,2,0,0,10,6,3,3,1,0,4,0,12,1,0.17,0.213,0.235
4,2016,オリックス,79,219,199,17,49,10,1,0,61,9,6,7,8,0,9,3,29,3,0.24600000000000002,0.307,0.289
5,2017,オリックス,61,182,164,17,35,5,2,2,50,19,3,0,9,2,7,0,21,4,0.213,0.305,0.243
6,2018,オリックス,40,54,50,4,6,1,0,0,7,2,3,1,0,0,4,0,9,0,0.12,0.14,0.185
7,2019,オリックス,103,266,246,23,54,9,0,4,75,18,7,4,3,1,16,0,49,2,0.22,0.305,0.266
8,2020,オリックス,13,20,20,1,3,2,0,0,5,0,0,0,0,0,0,0,9,1,0.15,0.25,0.15
9,nan,通　算,393,907,836,81,175,30,3,6,229,56,26,17,22,3,43,3,157,13,0.209,0.27399999999999997,0.25
