,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,広島東洋,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2011,広島東洋,68,204,196,15,53,6,1,3,70,19,0,1,0,0,8,0,20,5,0.27,0.35700000000000004,0.299
2,2012,広島東洋,48,146,137,4,28,4,0,0,32,7,1,0,0,0,8,1,13,3,0.204,0.23399999999999999,0.253
3,2013,広島東洋,123,389,372,27,105,23,1,10,160,52,2,0,1,4,11,1,49,4,0.282,0.43,0.302
4,2014,広島東洋,80,250,233,26,74,9,1,7,106,34,0,1,0,1,14,2,29,7,0.318,0.455,0.36
5,2015,広島東洋,100,229,202,14,56,13,0,7,90,26,1,1,0,3,23,1,30,8,0.27699999999999997,0.446,0.349
6,2016,広島東洋,103,275,254,34,74,10,2,10,118,41,0,0,0,1,20,0,29,4,0.29100000000000004,0.465,0.342
7,2017,広島東洋,120,387,350,39,114,23,4,14,187,77,0,0,0,6,31,0,45,8,0.326,0.534,0.375
8,2018,広島東洋,124,446,397,46,120,25,2,12,185,74,2,0,0,5,42,2,46,10,0.302,0.466,0.368
9,2019,広島東洋,110,327,294,21,76,14,1,6,110,49,0,0,0,2,29,2,42,7,0.259,0.374,0.327
10,2020,広島東洋,108,425,404,38,112,27,1,9,168,67,0,1,0,3,17,1,72,11,0.27699999999999997,0.41600000000000004,0.306
11,2021,広島東洋,85,194,175,9,46,10,0,2,62,29,0,0,0,2,17,0,22,4,0.263,0.354,0.325
12,2022,広島東洋,88,166,152,9,33,7,0,2,46,23,0,0,0,3,11,0,22,2,0.217,0.303,0.265
13,nan,通　算,1159,3440,3168,282,891,171,13,82,1334,498,6,4,1,30,231,10,420,73,0.281,0.42100000000000004,0.32899999999999996
