,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,東北楽天,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2014,東北楽天,3,7,7,1,2,2,0,0,4,0,0,0,0,0,0,0,3,0,0.28600000000000003,0.5710000000000001,0.28600000000000003
2,2015,東北楽天,9,33,29,2,6,1,1,0,9,3,0,0,2,0,1,1,9,1,0.207,0.31,0.258
3,2016,東北楽天,38,70,63,11,14,0,0,3,23,6,0,0,2,0,5,0,16,1,0.222,0.365,0.27899999999999997
4,2017,東北楽天,56,115,103,12,25,9,0,1,37,9,0,1,4,1,7,0,27,1,0.243,0.359,0.28800000000000003
5,2018,東北楽天,70,54,48,5,5,0,1,0,7,0,0,1,3,0,3,0,15,2,0.10400000000000001,0.146,0.157
6,2019,東北楽天,17,4,4,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.25,0.25,0.25
7,2019,広島東洋,43,92,77,9,14,1,0,2,21,7,1,0,6,0,9,0,28,1,0.182,0.273,0.267
8,2020,広島東洋,62,29,24,3,3,0,0,0,3,2,0,0,2,1,2,0,5,0,0.125,0.125,0.185
9,2021,広島東洋,64,13,11,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0.0,0.0,0.0
10,nan,通　算,368,421,370,44,70,13,2,6,105,28,2,2,21,2,27,1,109,6,0.18899999999999997,0.284,0.245
