,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,読　売,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5,5.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,3.6
1,2013,読　売,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.1,11.0,0.0,3.0,0.0,8.0,1.0,0.0,6.0,6.0,5.23
2,2014,広島東洋,31.0,2.0,0.0,2.0,16.0,18.0,0.0,0.0,0.0,1.0,114.0,31,16.0,0.0,7.0,0.0,27.0,0.0,0.0,3.0,2.0,0.58
3,2015,広島東洋,38.0,2.0,4.0,1.0,7.0,9.0,0.0,0.0,0.0,0.33299999999999996,176.0,37,42.0,5.0,21.0,1.0,35.0,0.0,0.0,21.0,17.0,4.14
4,2016,広島東洋,27.0,1.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.5,96.0,24.2,16.0,0.0,10.0,0.0,21.0,0.0,0.0,5.0,5.0,1.82
5,2017,広島東洋,59.0,6.0,2.0,1.0,19.0,25.0,0.0,0.0,0.0,0.75,234.0,58.1,42.0,1.0,20.0,0.0,58.0,1.0,0.0,14.0,12.0,1.85
6,2018,広島東洋,59.0,5.0,6.0,2.0,18.0,23.0,0.0,0.0,0.0,0.455,238.0,56.1,46.0,7.0,22.0,0.0,61.0,1.0,0.0,20.0,18.0,2.88
7,2019,広島東洋,33.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,133.0,31,29.0,1.0,10.0,2.0,18.0,2.0,0.0,11.0,10.0,2.9
8,2020,広島東洋,19.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,81.0,17.1,25.0,2.0,5.0,1.0,14.0,0.0,0.0,12.0,12.0,6.23
9,2022,広島東洋,10.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,41.0,8.2,15.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,2.0,2.08
10,nan,通　算,289.0,17.0,14.0,7.0,84.0,101.0,0.0,0.0,0.0,0.5479999999999999,1178.0,279.2,247.0,16.0,99.0,5.0,252.0,5.0,0.0,97.0,86.0,2.77
