,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,広島東洋,27.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,704.0,172.2,143.0,6.0,52.0,2.0,103.0,3.0,2.0,46.0,38.0,1.98
1,2013,広島東洋,23.0,12.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.667,620.0,149.1,142.0,13.0,37.0,7.0,103.0,3.0,0.0,70.0,62.0,3.74
2,2014,広島東洋,19.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,465.0,104.2,114.0,10.0,37.0,3.0,75.0,0.0,0.0,64.0,51.0,4.39
3,2015,広島東洋,15.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,384.0,87.1,110.0,11.0,23.0,3.0,51.0,1.0,0.0,53.0,45.0,4.64
4,2016,広島東洋,25.0,16.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8420000000000001,633.0,152.2,139.0,11.0,37.0,6.0,91.0,3.0,0.0,50.0,46.0,2.71
5,2017,広島東洋,25.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,645.0,155.1,152.0,12.0,38.0,4.0,106.0,4.0,0.0,53.0,48.0,2.78
6,2018,広島東洋,20.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379999999999999,514.0,119.1,136.0,10.0,30.0,2.0,60.0,1.0,0.0,62.0,56.0,4.22
7,2019,広島東洋,18.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,414.0,95.1,96.0,6.0,34.0,2.0,65.0,0.0,0.0,52.0,43.0,4.06
8,2020,広島東洋,13.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,309.0,70.2,81.0,9.0,22.0,3.0,35.0,0.0,0.0,36.0,36.0,4.58
9,2021,広島東洋,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,35.2,48.0,6.0,17.0,2.0,29.0,2.0,0.0,25.0,25.0,6.31
10,2022,広島東洋,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,191.0,41.1,55.0,4.0,14.0,0.0,18.0,0.0,0.0,27.0,24.0,5.23
11,nan,通　算,202.0,79.0,62.0,0.0,0.0,0.0,3.0,1.0,1.0,0.56,5050.0,1184.1,1216.0,98.0,341.0,34.0,736.0,17.0,2.0,538.0,474.0,3.6
