,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,広島東洋,15,31,28,3,6,1,0,0,7,1,0,0,0,0,3,0,8,1,0.214,0.25,0.29
1,2010,広島東洋,32,56,53,4,9,1,0,1,13,5,0,0,1,0,2,0,16,3,0.17,0.245,0.2
2,2011,広島東洋,19,29,28,0,5,1,0,0,6,1,0,0,0,0,0,1,9,3,0.179,0.214,0.207
3,2012,広島東洋,28,70,66,4,13,3,0,0,16,2,0,1,0,0,2,2,7,2,0.19699999999999998,0.242,0.243
4,2013,広島東洋,31,68,64,6,12,1,0,3,22,6,0,0,0,0,4,0,18,1,0.188,0.344,0.235
5,2014,広島東洋,65,200,179,25,55,9,0,10,94,30,0,1,1,2,16,2,28,6,0.307,0.525,0.36700000000000005
6,2015,広島東洋,93,290,252,23,62,7,3,6,93,30,0,1,2,3,26,7,49,9,0.24600000000000002,0.369,0.33
7,2016,広島東洋,83,220,197,18,47,7,0,7,75,26,1,1,4,1,14,4,42,7,0.239,0.381,0.301
8,2017,広島東洋,106,329,287,35,79,15,0,6,112,35,0,0,10,3,22,7,45,12,0.275,0.39,0.33899999999999997
9,2018,広島東洋,106,377,315,42,96,18,1,13,155,42,0,0,5,4,39,14,56,6,0.305,0.49200000000000005,0.401
10,2019,広島東洋,126,447,376,38,104,21,2,12,165,63,2,1,3,0,58,10,81,6,0.27699999999999997,0.439,0.387
11,2020,広島東洋,79,263,229,25,61,13,0,7,95,36,2,0,1,0,22,11,51,8,0.266,0.415,0.359
12,nan,通　算,783,2380,2074,223,549,97,6,65,853,277,5,5,27,13,208,58,410,64,0.265,0.41100000000000003,0.34600000000000003
