,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,埼玉西武,110,313,284,35,66,9,6,1,90,21,8,5,8,0,15,6,63,1,0.23199999999999998,0.317,0.285
1,2012,埼玉西武,107,450,403,50,118,17,8,4,163,37,10,5,15,1,28,3,70,7,0.293,0.40399999999999997,0.34299999999999997
2,2013,埼玉西武,144,634,564,89,152,25,7,13,230,58,13,6,12,2,49,7,89,8,0.27,0.408,0.33399999999999996
3,2014,埼玉西武,131,561,475,64,123,24,6,4,171,47,3,3,11,2,70,3,98,4,0.259,0.36,0.35600000000000004
4,2015,埼玉西武,143,675,602,108,216,36,10,14,314,55,17,17,7,2,60,4,78,6,0.359,0.522,0.419
5,2016,埼玉西武,143,671,578,98,171,32,4,11,244,62,18,6,0,6,77,10,103,2,0.29600000000000004,0.42200000000000004,0.385
6,2017,埼玉西武,143,659,575,106,185,38,5,25,308,89,16,5,0,7,72,5,97,4,0.322,0.536,0.39799999999999996
7,2018,埼玉西武,143,685,603,107,195,39,8,24,322,82,15,10,0,1,77,4,96,3,0.32299999999999995,0.534,0.40299999999999997
8,2019,埼玉西武,143,678,590,112,179,31,4,20,278,62,12,8,0,1,78,9,108,8,0.303,0.47100000000000003,0.392
9,2022,広島東洋,44,174,155,19,41,6,1,5,64,26,0,0,0,2,11,6,34,6,0.265,0.413,0.33299999999999996
10,nan,通　算,1251,5500,4829,788,1446,257,59,121,2184,539,112,65,53,24,537,57,836,49,0.299,0.452,0.375
