,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,広島東洋,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,112.0,25,20.0,5.0,14.0,2.0,17.0,1.0,0.0,13.0,12.0,4.32
1,2011,広島東洋,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7,10.0,0.0,3.0,0.0,4.0,1.0,1.0,6.0,5.0,6.43
2,2012,広島東洋,27.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,151.0,34.2,38.0,3.0,12.0,1.0,26.0,2.0,0.0,15.0,15.0,3.89
3,2013,広島東洋,15.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,109.0,24.2,25.0,2.0,9.0,2.0,21.0,1.0,0.0,8.0,8.0,2.92
4,2014,広島東洋,66.0,9.0,8.0,0.0,18.0,27.0,0.0,0.0,0.0,0.529,334.0,78.2,78.0,9.0,25.0,3.0,69.0,2.0,0.0,34.0,34.0,3.89
5,2015,広島東洋,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,5,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
6,2016,広島東洋,8.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,23.0,4.1,5.0,1.0,4.0,1.0,6.0,0.0,0.0,8.0,8.0,16.62
7,2017,広島東洋,53.0,2.0,4.0,0.0,13.0,15.0,0.0,0.0,0.0,0.33299999999999996,196.0,46.2,37.0,4.0,20.0,1.0,50.0,0.0,0.0,15.0,14.0,2.7
8,2018,広島東洋,15.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,67.0,12.1,22.0,2.0,8.0,0.0,12.0,2.0,0.0,19.0,18.0,13.14
9,2019,広島東洋,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.2,8.0,1.0,6.0,1.0,4.0,1.0,0.0,11.0,6.0,9.53
10,2020,広島東洋,32.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,116.0,27.1,28.0,6.0,8.0,0.0,22.0,0.0,0.0,13.0,13.0,4.28
11,2021,広島東洋,23.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,89.0,19,20.0,3.0,12.0,1.0,16.0,2.0,0.0,14.0,10.0,4.74
12,nan,通　算,267.0,15.0,16.0,0.0,51.0,66.0,0.0,0.0,0.0,0.484,1289.0,290.1,295.0,36.0,124.0,12.0,251.0,12.0,1.0,156.0,143.0,4.43
