,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,広島東洋,12.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,84.0,21,15.0,1.0,8.0,1.0,14.0,1.0,0.0,7.0,6.0,2.57
1,2013,広島東洋,17.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.222,273.0,60.1,67.0,7.0,31.0,1.0,40.0,1.0,0.0,41.0,39.0,5.82
2,2014,広島東洋,32.0,2.0,3.0,1.0,10.0,12.0,0.0,0.0,0.0,0.4,193.0,43.2,45.0,2.0,15.0,3.0,32.0,0.0,0.0,20.0,19.0,3.92
3,2015,広島東洋,69.0,0.0,6.0,29.0,11.0,11.0,0.0,0.0,0.0,0.0,300.0,73,65.0,4.0,23.0,1.0,61.0,0.0,0.0,20.0,19.0,2.34
4,2016,広島東洋,61.0,3.0,4.0,34.0,7.0,10.0,0.0,0.0,0.0,0.429,251.0,61.1,50.0,2.0,19.0,2.0,54.0,0.0,0.0,11.0,9.0,1.32
5,2017,広島東洋,59.0,4.0,1.0,10.0,25.0,29.0,0.0,0.0,0.0,0.8,218.0,57.2,33.0,2.0,20.0,0.0,36.0,0.0,0.0,9.0,9.0,1.4
6,2018,広島東洋,68.0,4.0,2.0,32.0,6.0,10.0,0.0,0.0,0.0,0.667,293.0,66.1,66.0,7.0,29.0,1.0,56.0,0.0,0.0,23.0,20.0,2.71
7,2019,広島東洋,36.0,3.0,3.0,9.0,5.0,8.0,0.0,0.0,0.0,0.5,171.0,35.1,44.0,3.0,17.0,2.0,23.0,0.0,0.0,24.0,16.0,4.08
8,2020,広島東洋,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,5,8.0,3.0,3.0,0.0,3.0,0.0,0.0,5.0,5.0,9.0
9,nan,通　算,360.0,19.0,27.0,115.0,66.0,84.0,0.0,0.0,0.0,0.413,1808.0,423.2,393.0,31.0,165.0,11.0,319.0,2.0,0.0,160.0,142.0,3.02
