,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,東北楽天,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,46.0,11,7.0,3.0,5.0,2.0,10.0,0.0,0.0,5.0,5.0,4.09
1,2011,東北楽天,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.1,5.0,1.0,8.0,1.0,3.0,0.0,0.0,6.0,5.0,13.5
2,2012,東北楽天,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,110.0,25,30.0,2.0,5.0,1.0,24.0,3.0,0.0,9.0,8.0,2.88
3,2013,東北楽天,14.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,158.0,33.1,38.0,3.0,23.0,1.0,22.0,4.0,0.0,28.0,24.0,6.48
4,2014,東北楽天,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,211.0,51.1,40.0,5.0,18.0,3.0,36.0,8.0,0.0,23.0,23.0,4.03
5,2015,東北楽天,18.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,448.0,103,96.0,5.0,42.0,5.0,71.0,5.0,0.0,47.0,43.0,3.76
6,2016,東北楽天,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,111.0,22.2,33.0,4.0,13.0,1.0,14.0,2.0,0.0,16.0,13.0,5.16
7,2017,東北楽天,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,7.1,8.0,0.0,4.0,0.0,9.0,1.0,0.0,7.0,4.0,4.91
8,2018,東北楽天,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,13,11.0,1.0,4.0,1.0,15.0,0.0,0.0,2.0,2.0,1.38
9,2019,広島東洋,58.0,1.0,3.0,0.0,15.0,16.0,0.0,0.0,0.0,0.25,240.0,61,39.0,4.0,23.0,0.0,43.0,4.0,0.0,21.0,19.0,2.8
10,2020,広島東洋,44.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,189.0,42,41.0,6.0,19.0,3.0,53.0,3.0,0.0,24.0,21.0,4.5
11,nan,通　算,171.0,14.0,18.0,1.0,20.0,22.0,0.0,0.0,0.0,0.43799999999999994,1628.0,373,348.0,34.0,164.0,18.0,300.0,30.0,0.0,188.0,167.0,4.03
