,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,広島東洋,7,14,13,0,1,0,0,0,1,1,0,0,1,0,0,0,4,0,0.077,0.077,0.077
1,2012,広島東洋,35,72,61,3,10,1,0,0,11,5,0,0,5,0,6,0,19,2,0.16399999999999998,0.18,0.239
2,2013,広島東洋,7,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
3,2014,広島東洋,30,71,62,4,10,1,0,1,14,1,0,1,4,0,5,0,17,0,0.161,0.226,0.22399999999999998
4,2015,広島東洋,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
5,2016,広島東洋,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6,2017,広島東洋,3,5,5,0,2,1,0,0,3,0,1,0,0,0,0,0,2,0,0.4,0.6,0.4
7,2020,広島東洋,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
8,2022,広島東洋,4,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0.0,0.0,0.0
9,nan,通　算,90,174,150,7,23,3,0,1,29,7,1,1,13,0,11,0,44,2,0.153,0.193,0.21100000000000002
