,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2002,広島東洋,5,10,10,1,3,0,0,0,3,0,0,0,0,0,0,0,1,1,0.3,0.3,0.3
1,2003,広島東洋,116,338,305,19,65,14,2,4,95,21,0,1,10,0,17,6,78,6,0.213,0.311,0.268
2,2004,広島東洋,135,435,396,32,114,22,0,6,154,35,0,1,9,1,21,8,70,6,0.28800000000000003,0.389,0.336
3,2005,広島東洋,74,194,174,13,42,6,0,2,54,12,0,0,3,2,11,4,29,6,0.24100000000000002,0.31,0.298
4,2006,広島東洋,85,267,240,17,53,9,0,3,71,11,2,0,6,2,15,4,43,6,0.221,0.29600000000000004,0.276
5,2007,広島東洋,89,284,256,24,72,12,0,3,93,15,2,2,6,0,16,6,47,9,0.281,0.363,0.33799999999999997
6,2008,広島東洋,123,457,422,36,112,19,0,9,158,50,6,6,10,2,22,1,80,7,0.265,0.374,0.302
7,2009,広島東洋,124,422,364,31,75,15,1,10,122,37,2,3,11,4,39,4,90,11,0.20600000000000002,0.335,0.287
8,2010,広島東洋,122,408,369,33,97,19,0,8,140,41,4,4,6,1,29,3,81,10,0.263,0.379,0.321
9,2011,広島東洋,110,342,299,15,60,10,0,4,82,27,2,2,14,3,22,4,49,7,0.201,0.27399999999999997,0.262
10,2012,広島東洋,77,250,217,22,52,15,0,1,70,22,0,1,9,1,22,1,37,7,0.24,0.32299999999999995,0.311
11,2013,広島東洋,121,398,327,32,81,9,0,7,111,35,0,2,15,3,45,8,76,12,0.248,0.33899999999999997,0.35
12,2014,広島東洋,80,223,193,17,37,8,0,4,57,19,1,2,8,0,21,1,43,6,0.192,0.295,0.27399999999999997
13,2015,広島東洋,83,238,216,15,52,6,0,2,64,12,1,0,8,0,14,0,42,10,0.24100000000000002,0.29600000000000004,0.287
14,2016,広島東洋,106,289,243,19,49,7,0,0,56,17,4,1,12,1,29,4,54,8,0.20199999999999999,0.23,0.29600000000000004
15,2017,広島東洋,77,167,147,11,30,4,0,1,37,12,1,0,8,2,10,0,33,8,0.204,0.252,0.252
16,2018,広島東洋,58,107,96,6,17,1,0,1,21,7,0,0,4,1,5,1,27,4,0.177,0.21899999999999997,0.223
17,2019,広島東洋,31,67,56,3,11,2,0,1,16,5,0,0,5,1,5,0,18,1,0.196,0.28600000000000003,0.258
18,2020,広島東洋,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
19,nan,通　算,1620,4901,4335,346,1022,178,3,66,1404,378,25,25,144,24,343,55,899,125,0.23600000000000002,0.324,0.299
