,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,広島東洋,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4,7.0,1.0,6.0,1.0,0.0,0.0,0.0,8.0,7.0,15.75
1,2011,広島東洋,54.0,3.0,8.0,2.0,13.0,16.0,0.0,0.0,0.0,0.273,399.0,94,97.0,10.0,30.0,1.0,76.0,6.0,0.0,50.0,49.0,4.69
2,2012,広島東洋,69.0,2.0,2.0,4.0,26.0,28.0,0.0,0.0,0.0,0.5,344.0,85.2,73.0,4.0,18.0,4.0,89.0,0.0,0.0,21.0,18.0,1.89
3,2013,広島東洋,57.0,2.0,5.0,3.0,18.0,20.0,0.0,0.0,0.0,0.28600000000000003,283.0,65.1,70.0,2.0,28.0,2.0,56.0,2.0,1.0,26.0,24.0,3.31
4,2014,広島東洋,17.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,88.0,20.2,17.0,3.0,9.0,0.0,16.0,0.0,0.0,10.0,10.0,4.35
5,2015,広島東洋,21.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,115.0,26,24.0,1.0,13.0,0.0,22.0,1.0,0.0,14.0,10.0,3.46
6,2016,広島東洋,67.0,3.0,4.0,2.0,22.0,25.0,0.0,0.0,0.0,0.429,299.0,73.2,60.0,3.0,22.0,0.0,87.0,4.0,0.0,20.0,20.0,2.44
7,2017,広島東洋,68.0,3.0,5.0,23.0,17.0,20.0,0.0,0.0,0.0,0.375,270.0,64.1,53.0,6.0,27.0,0.0,69.0,3.0,0.0,19.0,17.0,2.38
8,2018,広島東洋,43.0,3.0,2.0,1.0,13.0,16.0,0.0,0.0,0.0,0.6,173.0,38.1,37.0,5.0,21.0,1.0,35.0,0.0,0.0,26.0,22.0,5.17
9,2019,広島東洋,27.0,3.0,1.0,1.0,4.0,7.0,0.0,0.0,0.0,0.75,101.0,25.1,18.0,2.0,9.0,1.0,17.0,0.0,0.0,10.0,10.0,3.55
10,2020,広島東洋,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,4.1,10.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,6.0,12.46
11,nan,通　算,431.0,21.0,30.0,36.0,115.0,136.0,0.0,0.0,0.0,0.41200000000000003,2123.0,501.2,466.0,37.0,185.0,10.0,468.0,17.0,1.0,210.0,193.0,3.46
