,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,広島東洋,98,316,274,22,74,11,1,3,96,19,1,2,11,2,25,4,49,6,0.27,0.35,0.33799999999999997
1,2009,広島東洋,70,209,183,25,54,11,0,2,71,16,2,1,4,0,20,2,33,2,0.295,0.38799999999999996,0.371
2,2010,広島東洋,81,244,208,17,43,7,0,1,53,24,0,0,6,4,21,5,31,9,0.207,0.255,0.29
3,2011,広島東洋,65,158,142,13,37,7,0,2,50,12,1,1,9,0,3,4,17,0,0.261,0.35200000000000004,0.295
4,2012,広島東洋,25,52,43,3,9,3,0,0,12,2,0,0,7,0,1,1,6,1,0.209,0.27899999999999997,0.244
5,2013,広島東洋,53,121,110,16,29,3,2,3,45,9,0,0,1,0,8,2,14,3,0.264,0.409,0.325
6,2014,広島東洋,78,182,161,13,51,9,0,3,69,30,1,0,4,3,12,2,15,1,0.317,0.429,0.365
7,2015,広島東洋,69,88,71,2,21,2,0,1,26,15,1,0,2,0,15,0,18,2,0.29600000000000004,0.366,0.419
8,2016,広島東洋,69,107,92,8,20,9,1,2,37,10,0,0,1,0,11,3,23,2,0.217,0.402,0.321
9,2017,広島東洋,26,65,57,3,10,0,1,0,12,8,1,0,2,0,6,0,13,3,0.175,0.21100000000000002,0.254
10,2018,広島東洋,17,28,26,2,8,3,1,0,13,3,0,0,0,0,1,1,7,0,0.308,0.5,0.35700000000000004
11,2019,広島東洋,51,125,114,5,28,3,0,1,34,5,0,0,1,0,10,0,19,3,0.24600000000000002,0.298,0.306
12,2020,広島東洋,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.33299999999999996,0.33299999999999996,0.33299999999999996
13,nan,通　算,705,1698,1484,129,385,68,6,18,519,153,7,4,48,9,133,24,245,33,0.259,0.35,0.32799999999999996
