,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,広島東洋,63,234,201,21,46,5,1,2,59,12,4,2,25,1,6,1,42,5,0.22899999999999998,0.294,0.254
1,2013,広島東洋,141,633,538,69,133,27,4,11,201,57,16,7,50,5,38,2,121,4,0.247,0.374,0.297
2,2014,広島東洋,144,654,579,88,188,39,2,11,264,58,23,10,43,5,24,3,79,9,0.325,0.456,0.35200000000000004
3,2015,広島東洋,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,92,7,0.254,0.34299999999999997,0.292
4,2016,広島東洋,141,640,574,92,181,22,3,13,248,56,13,5,23,3,40,0,106,3,0.315,0.43200000000000005,0.358
5,2017,広島東洋,138,629,565,87,153,28,3,14,229,56,8,7,30,1,32,1,107,9,0.271,0.405,0.311
6,2018,広島東洋,139,642,557,85,130,27,1,13,198,60,10,2,30,1,51,3,111,5,0.233,0.355,0.301
7,2019,広島東洋,138,619,547,77,143,36,2,13,222,48,14,5,28,2,41,1,102,5,0.261,0.406,0.313
8,2020,広島東洋,106,429,376,43,102,19,4,10,159,41,3,2,16,1,35,1,68,9,0.271,0.423,0.33399999999999996
9,2021,広島東洋,132,542,494,64,137,23,2,16,212,60,1,5,2,3,42,1,86,8,0.27699999999999997,0.429,0.33299999999999996
10,nan,通　算,1285,5666,4993,688,1356,246,25,111,1985,480,111,54,296,24,338,15,914,64,0.272,0.39799999999999996,0.318
