,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,広島東洋,144,554,488,60,118,25,4,14,193,45,5,2,5,3,44,14,150,8,0.242,0.395,0.321
1,2013,広島東洋,105,410,364,36,79,14,0,6,111,41,10,2,5,1,33,7,96,10,0.217,0.305,0.294
2,2014,広島東洋,93,330,284,37,70,12,1,8,108,28,1,1,5,3,32,6,87,3,0.24600000000000002,0.38,0.332
3,2015,広島東洋,33,73,69,5,18,2,0,0,20,3,1,0,1,0,3,0,16,1,0.261,0.29,0.292
4,2016,広島東洋,47,60,56,6,14,0,0,2,20,2,3,1,1,0,3,0,11,0,0.25,0.35700000000000004,0.28800000000000003
5,2017,広島東洋,44,54,46,4,10,1,0,1,14,11,0,0,0,3,5,0,13,0,0.217,0.304,0.278
6,2018,広島東洋,63,60,51,11,11,3,1,0,16,5,0,1,7,0,2,0,14,1,0.21600000000000003,0.314,0.245
7,2019,広島東洋,28,38,34,1,7,0,1,0,9,2,0,0,2,0,2,0,9,0,0.20600000000000002,0.265,0.25
8,2020,広島東洋,111,451,401,55,112,21,0,14,175,58,17,4,3,2,41,4,91,12,0.27899999999999997,0.436,0.35
9,nan,通　算,668,2030,1793,215,439,78,7,45,666,195,37,11,29,12,165,31,487,35,0.245,0.371,0.317
