,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,広島東洋,110,333,295,44,86,11,2,9,128,34,10,3,5,5,24,4,68,6,0.292,0.434,0.348
1,2015,広島東洋,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,7,105,8,0.27399999999999997,0.413,0.325
2,2016,広島東洋,143,679,581,102,154,17,3,13,216,39,28,19,3,1,77,17,119,1,0.265,0.37200000000000005,0.36700000000000005
3,2017,広島東洋,143,679,565,105,164,32,5,8,230,60,35,13,6,4,89,15,120,5,0.29,0.40700000000000003,0.39799999999999996
4,2018,広島東洋,143,675,572,92,150,19,10,10,219,60,32,13,6,5,75,17,118,6,0.262,0.38299999999999995,0.36200000000000004
5,2019,広島東洋,97,355,311,33,60,13,0,3,82,27,8,3,4,6,32,2,89,4,0.193,0.264,0.268
6,2020,広島東洋,112,454,378,51,95,11,5,8,140,39,8,4,12,4,55,5,86,1,0.251,0.37,0.35100000000000003
7,2021,広島東洋,81,160,136,12,28,4,0,2,38,8,1,3,4,0,18,2,23,0,0.20600000000000002,0.27899999999999997,0.308
8,2022,広島東洋,41,45,40,2,8,1,1,0,11,1,0,1,0,1,3,1,14,0,0.2,0.275,0.267
9,nan,通　算,1011,3970,3421,502,894,141,35,61,1288,313,128,66,45,27,407,70,742,31,0.261,0.376,0.349
