,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,広島東洋,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
1,2013,広島東洋,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.33299999999999996
2,2015,広島東洋,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,2016,広島東洋,24,32,31,2,5,1,0,0,6,2,0,0,0,0,1,0,5,1,0.161,0.19399999999999998,0.188
4,2017,広島東洋,21,39,34,6,8,2,0,2,16,3,0,0,1,0,3,1,8,1,0.235,0.47100000000000003,0.316
5,2018,広島東洋,37,91,79,6,17,2,0,1,22,4,0,0,5,0,6,1,12,4,0.215,0.278,0.27899999999999997
6,2019,広島東洋,65,117,108,10,30,9,0,4,51,21,0,1,3,1,5,0,24,3,0.278,0.47200000000000003,0.307
7,2020,広島東洋,31,55,48,4,10,3,0,1,16,1,0,0,3,0,4,0,8,2,0.20800000000000002,0.33299999999999996,0.26899999999999996
8,2021,広島東洋,21,39,35,0,6,2,0,0,8,3,0,0,0,1,2,1,9,0,0.171,0.22899999999999998,0.231
9,2022,広島東洋,43,126,114,18,27,5,0,3,41,15,0,0,3,0,7,2,20,4,0.237,0.36,0.293
10,nan,通　算,248,505,454,46,104,24,0,11,161,49,0,1,15,2,29,5,87,15,0.22899999999999998,0.355,0.282
