,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,広島東洋,11,14,12,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0.083,0.083,0.214
1,2014,広島東洋,36,68,64,6,22,7,0,1,32,7,0,0,0,0,4,0,13,2,0.344,0.5,0.382
2,2015,広島東洋,97,238,211,21,58,6,3,5,85,25,6,7,7,2,16,2,38,3,0.275,0.40299999999999997,0.32899999999999996
3,2016,広島東洋,129,528,466,76,156,26,8,29,285,95,16,11,3,3,53,3,79,10,0.335,0.612,0.40399999999999997
4,2017,広島東洋,115,512,437,85,131,28,1,26,239,90,16,6,0,7,62,6,80,12,0.3,0.547,0.389
5,2018,広島東洋,124,520,422,86,135,32,2,30,261,94,4,4,0,5,88,5,116,4,0.32,0.618,0.43799999999999994
6,2019,広島東洋,140,612,499,112,167,31,0,28,282,87,25,16,0,3,103,7,81,3,0.335,0.565,0.45299999999999996
7,2020,広島東洋,118,514,430,85,129,26,2,25,234,75,6,4,0,3,72,9,73,15,0.3,0.544,0.409
8,2021,広島東洋,132,533,435,77,138,26,0,38,278,88,9,4,0,5,87,6,88,7,0.317,0.639,0.433
9,nan,通　算,902,3539,2976,548,937,182,16,182,1697,562,82,52,10,28,486,39,569,57,0.315,0.57,0.414
