,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,広島東洋,8,20,20,3,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0.15,0.15,0.15
1,2012,広島東洋,53,135,119,15,30,3,0,1,36,2,5,2,9,0,7,0,21,1,0.252,0.303,0.294
2,2013,広島東洋,75,142,123,13,27,4,0,1,34,8,5,2,6,1,12,0,31,1,0.22,0.276,0.287
3,2014,広島東洋,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
4,2015,広島東洋,26,74,70,6,17,0,0,0,17,2,1,2,3,0,1,0,6,1,0.243,0.243,0.254
5,2016,広島東洋,115,292,259,23,73,12,4,6,111,33,7,0,7,5,19,1,64,3,0.282,0.429,0.327
6,2017,広島東洋,123,455,413,63,128,17,4,4,165,49,17,5,12,1,27,2,94,3,0.31,0.4,0.354
7,2018,広島東洋,72,252,220,32,52,11,4,4,83,24,7,1,7,2,21,2,60,1,0.23600000000000002,0.377,0.306
8,2019,広島東洋,114,295,264,23,67,12,0,8,103,28,5,2,6,1,23,1,60,9,0.254,0.39,0.315
9,2020,広島東洋,26,44,38,6,7,3,0,0,10,2,0,1,2,0,4,0,17,1,0.184,0.263,0.262
10,nan,通　算,615,1712,1529,184,405,62,12,24,563,148,47,15,52,10,114,6,359,20,0.265,0.368,0.316
