,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,読　売,128,459,430,66,124,24,3,19,211,52,12,4,2,0,25,2,72,10,0.28800000000000003,0.491,0.33
1,2011,読　売,140,578,519,58,164,20,4,17,243,69,19,8,3,2,48,6,85,11,0.316,0.46799999999999997,0.379
2,2012,読　売,144,653,574,84,173,29,2,14,248,60,20,7,2,1,75,1,100,5,0.301,0.43200000000000005,0.382
3,2013,読　売,144,642,590,82,166,21,3,19,250,65,14,5,3,0,48,1,101,6,0.281,0.424,0.336
4,2014,読　売,130,523,472,67,140,29,1,13,210,62,8,4,4,2,42,3,75,8,0.297,0.445,0.35600000000000004
5,2015,読　売,130,479,434,49,109,20,3,15,180,52,3,2,5,2,34,4,81,12,0.251,0.415,0.31
6,2016,読　売,143,618,576,58,163,28,4,11,232,42,8,2,1,3,33,5,78,7,0.28300000000000003,0.40299999999999997,0.326
7,2017,読　売,134,516,463,52,121,20,3,16,195,46,6,0,1,1,46,5,98,17,0.261,0.42100000000000004,0.33399999999999996
8,2018,読　売,116,426,383,49,111,16,0,13,166,52,3,2,0,1,41,1,69,5,0.29,0.433,0.359
9,2019,広島東洋,72,197,180,13,45,7,1,5,69,20,0,2,0,1,15,1,40,11,0.25,0.38299999999999995,0.31
10,2020,広島東洋,95,299,267,30,76,17,1,10,125,42,1,0,0,2,29,1,61,5,0.285,0.46799999999999997,0.355
11,nan,通　算,1376,5390,4888,608,1392,231,25,152,2129,562,94,36,21,15,436,30,860,97,0.285,0.436,0.34600000000000003
