,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,中　日,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2009,中　日,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,2010,中　日,82,301,259,23,68,12,1,5,97,30,0,0,14,1,25,2,35,11,0.263,0.375,0.331
3,2011,中　日,62,123,115,6,24,4,0,2,34,10,0,0,3,0,4,1,18,5,0.209,0.29600000000000004,0.242
4,2012,中　日,116,182,167,5,35,8,0,0,43,11,1,0,8,1,5,1,34,6,0.21,0.257,0.23600000000000002
5,2013,中　日,74,170,152,5,26,2,1,1,33,12,1,0,8,3,6,1,15,3,0.171,0.217,0.204
6,2014,中　日,90,261,237,19,54,4,1,1,63,17,1,0,11,3,10,0,45,8,0.228,0.266,0.256
7,2015,中　日,43,43,38,3,6,0,0,1,9,1,0,0,1,0,4,0,8,0,0.158,0.237,0.23800000000000002
8,2016,中　日,131,507,456,38,116,25,3,6,165,46,1,1,20,2,27,2,69,14,0.254,0.36200000000000004,0.298
9,2017,中　日,91,167,151,11,31,7,0,1,41,8,0,1,7,0,9,0,39,4,0.205,0.272,0.25
10,2018,中　日,74,56,47,3,10,0,0,0,10,6,0,0,2,2,3,2,9,2,0.213,0.213,0.278
11,2019,中　日,98,217,193,25,41,9,0,12,86,39,1,0,11,0,13,0,56,4,0.212,0.446,0.262
12,2020,中　日,43,55,50,2,10,2,0,0,12,4,0,1,0,1,4,0,11,2,0.2,0.24,0.255
13,2021,中　日,75,234,219,15,48,10,0,5,73,25,1,0,4,2,9,0,42,12,0.21899999999999997,0.33299999999999996,0.248
14,nan,通　算,984,2318,2086,155,469,83,6,34,666,209,6,3,89,15,119,9,382,71,0.225,0.319,0.268
