,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,中　日,104,374,314,35,81,10,4,0,99,17,8,4,27,2,29,2,52,2,0.258,0.315,0.32299999999999995
1,2011,中　日,96,355,300,25,73,6,4,3,96,18,8,2,19,2,29,5,50,3,0.243,0.32,0.318
2,2012,中　日,144,631,555,83,172,19,5,1,204,13,32,17,17,0,46,13,80,7,0.31,0.368,0.376
3,2013,中　日,140,555,499,68,124,18,2,3,155,27,19,9,10,3,37,6,69,2,0.248,0.311,0.306
4,2014,中　日,141,642,585,92,186,18,2,2,214,28,28,12,6,2,43,6,56,3,0.318,0.366,0.369
5,2015,中　日,142,620,565,70,147,20,4,6,193,27,22,8,10,1,39,5,65,5,0.26,0.342,0.313
6,2016,中　日,143,656,599,80,175,27,9,3,229,27,26,12,4,1,46,6,69,3,0.292,0.382,0.348
7,2017,中　日,119,521,476,50,149,20,3,3,184,29,23,6,1,3,37,4,66,5,0.313,0.387,0.365
8,2018,中　日,141,645,588,92,161,20,7,7,216,57,21,9,1,5,47,4,80,2,0.27399999999999997,0.36700000000000005,0.32899999999999996
9,2019,中　日,143,623,558,89,174,23,3,3,212,45,30,7,3,3,50,9,78,5,0.312,0.38,0.376
10,2020,中　日,118,525,462,58,146,21,3,1,176,30,16,8,9,3,47,4,51,5,0.316,0.381,0.382
11,2021,中　日,141,596,548,54,160,19,5,1,192,34,16,8,1,2,42,3,60,4,0.292,0.35,0.345
12,2022,中　日,109,482,436,48,137,18,1,1,160,20,11,4,3,0,34,9,52,1,0.314,0.36700000000000005,0.376
13,nan,通　算,1681,7225,6485,844,1885,239,52,34,2330,372,260,106,111,27,526,76,828,47,0.29100000000000004,0.359,0.35
