,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,中　日,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,48.0,9,14.0,5.0,6.0,1.0,8.0,0.0,0.0,16.0,16.0,16.0
1,2012,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2,2.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,13.5
2,2013,中　日,28.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,103.0,27.1,21.0,2.0,2.0,2.0,19.0,0.0,0.0,7.0,7.0,2.3
3,2014,中　日,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,13.5
4,2015,中　日,13.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,183.0,42,39.0,6.0,17.0,2.0,24.0,1.0,0.0,21.0,19.0,4.07
5,2016,中　日,14.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7140000000000001,231.0,54.2,43.0,4.0,29.0,1.0,25.0,3.0,0.0,17.0,17.0,2.8
6,2017,中　日,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,17,22.0,6.0,5.0,0.0,9.0,0.0,0.0,18.0,18.0,9.53
7,2018,中　日,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,190.0,43.1,51.0,7.0,10.0,0.0,37.0,1.0,0.0,35.0,30.0,6.23
8,2019,中　日,14.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33299999999999996,69.0,15.2,13.0,1.0,9.0,0.0,14.0,0.0,0.0,8.0,6.0,3.45
9,nan,通　算,90.0,12.0,13.0,0.0,5.0,9.0,1.0,1.0,0.0,0.48,923.0,213,209.0,32.0,83.0,6.0,137.0,5.0,0.0,128.0,119.0,5.03
