,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,中　日,66.0,7.0,5.0,2.0,15.0,22.0,0.0,0.0,0.0,0.583,362.0,87,67.0,6.0,37.0,2.0,67.0,4.0,0.0,27.0,27.0,2.79
1,2014,中　日,38.0,3.0,7.0,1.0,4.0,6.0,0.0,0.0,0.0,0.3,307.0,72.2,67.0,5.0,31.0,2.0,51.0,0.0,0.0,39.0,35.0,4.33
2,2015,中　日,50.0,0.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,225.0,57.1,38.0,1.0,15.0,2.0,55.0,2.0,0.0,10.0,10.0,1.57
3,2016,中　日,57.0,3.0,1.0,0.0,13.0,16.0,0.0,0.0,0.0,0.75,273.0,64.2,62.0,4.0,18.0,2.0,66.0,1.0,0.0,28.0,23.0,3.2
4,2017,中　日,9.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,31.0,7,9.0,1.0,1.0,0.0,4.0,0.0,0.0,5.0,4.0,5.14
5,2018,中　日,27.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,1.0,99.0,21.1,24.0,2.0,13.0,0.0,19.0,1.0,0.0,13.0,12.0,5.06
6,2019,中　日,53.0,3.0,2.0,13.0,7.0,10.0,0.0,0.0,0.0,0.6,207.0,50.1,44.0,8.0,14.0,1.0,53.0,0.0,0.0,20.0,20.0,3.58
7,2020,中　日,29.0,2.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.5,112.0,24,28.0,3.0,14.0,0.0,27.0,2.0,0.0,20.0,13.0,4.88
8,2021,中　日,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,16.2,23.0,1.0,6.0,0.0,10.0,0.0,0.0,9.0,9.0,4.86
9,nan,通　算,348.0,19.0,21.0,19.0,62.0,80.0,0.0,0.0,0.0,0.475,1690.0,401,362.0,31.0,149.0,9.0,352.0,10.0,0.0,171.0,153.0,3.43
