,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,中　日,56.0,5.0,3.0,0.0,30.0,35.0,0.0,0.0,0.0,0.625,274.0,70.2,50.0,1.0,17.0,3.0,56.0,2.0,0.0,10.0,9.0,1.15
1,2013,中　日,50.0,5.0,10.0,0.0,12.0,17.0,0.0,0.0,0.0,0.33299999999999996,286.0,64.1,66.0,3.0,32.0,4.0,60.0,3.0,1.0,37.0,34.0,4.76
2,2014,中　日,42.0,3.0,5.0,0.0,9.0,12.0,0.0,0.0,0.0,0.375,232.0,51,47.0,5.0,29.0,4.0,55.0,3.0,0.0,35.0,29.0,5.12
3,2015,中　日,64.0,4.0,6.0,9.0,16.0,20.0,0.0,0.0,0.0,0.4,316.0,75,68.0,4.0,25.0,6.0,62.0,5.0,0.0,25.0,19.0,2.28
4,2016,中　日,59.0,3.0,4.0,17.0,18.0,21.0,0.0,0.0,0.0,0.429,248.0,59,50.0,5.0,25.0,3.0,61.0,5.0,0.0,16.0,16.0,2.44
5,2017,中　日,63.0,2.0,5.0,34.0,6.0,8.0,0.0,0.0,0.0,0.28600000000000003,249.0,62.2,40.0,6.0,25.0,3.0,46.0,5.0,0.0,20.0,20.0,2.87
6,2018,中　日,30.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,134.0,28.2,30.0,4.0,18.0,2.0,13.0,3.0,0.0,23.0,23.0,7.22
7,2019,中　日,21.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,91.0,21,18.0,5.0,8.0,2.0,22.0,4.0,0.0,16.0,16.0,6.86
8,2021,中　日,22.0,2.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,0.667,74.0,18.1,15.0,0.0,6.0,0.0,22.0,1.0,0.0,5.0,5.0,2.45
9,2022,中　日,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,21.2,22.0,2.0,8.0,1.0,9.0,1.0,0.0,13.0,11.0,4.57
10,nan,通　算,428.0,24.0,39.0,75.0,106.0,130.0,0.0,0.0,0.0,0.381,2001.0,472.1,406.0,35.0,193.0,28.0,406.0,32.0,1.0,200.0,182.0,3.47
