,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,中　日,9.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,36.0,7.1,8.0,1.0,7.0,0.0,4.0,0.0,0.0,6.0,6.0,7.36
1,2014,中　日,72.0,2.0,4.0,11.0,32.0,34.0,0.0,0.0,0.0,0.33299999999999996,298.0,74.2,54.0,2.0,26.0,1.0,72.0,4.0,2.0,15.0,15.0,1.81
2,2015,中　日,42.0,3.0,4.0,19.0,4.0,7.0,0.0,0.0,0.0,0.429,176.0,40,38.0,3.0,20.0,3.0,25.0,3.0,0.0,19.0,18.0,4.05
3,2016,中　日,41.0,1.0,2.0,8.0,8.0,9.0,0.0,0.0,0.0,0.33299999999999996,171.0,40,45.0,6.0,9.0,2.0,23.0,5.0,0.0,18.0,18.0,4.05
4,2017,中　日,25.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.5,122.0,26.2,35.0,5.0,9.0,1.0,26.0,5.0,0.0,17.0,17.0,5.74
5,2018,中　日,29.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,114.0,27,31.0,5.0,7.0,0.0,28.0,0.0,0.0,16.0,15.0,5.0
6,2019,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6,6.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.5
7,2020,中　日,14.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,359.0,92,81.0,7.0,13.0,1.0,72.0,2.0,0.0,27.0,27.0,2.64
8,2021,中　日,18.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.33299999999999996,432.0,103.1,112.0,10.0,17.0,1.0,73.0,3.0,0.0,55.0,52.0,4.53
9,nan,通　算,251.0,20.0,25.0,38.0,53.0,60.0,1.0,0.0,1.0,0.444,1734.0,417,410.0,40.0,110.0,9.0,329.0,22.0,2.0,174.0,169.0,3.65
