,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2009,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2010,中　日,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,57.0,14,11.0,1.0,7.0,0.0,12.0,0.0,0.0,6.0,6.0,3.86
2,2011,中　日,9.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33299999999999996,196.0,42.2,46.0,0.0,19.0,8.0,27.0,2.0,0.0,23.0,17.0,3.59
3,2012,中　日,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,9.2,3.0,0.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,0.93
4,2014,中　日,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,38.2,48.0,3.0,23.0,4.0,24.0,3.0,0.0,23.0,17.0,3.96
5,2015,中　日,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.1,9.0,0.0,3.0,1.0,3.0,0.0,0.0,6.0,4.0,5.68
6,2016,中　日,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,89.0,19.1,22.0,2.0,9.0,0.0,12.0,1.0,0.0,14.0,13.0,6.05
7,2017,中　日,39.0,0.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,276.0,62.2,59.0,5.0,33.0,4.0,57.0,1.0,0.0,28.0,27.0,3.88
8,2018,中　日,11.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,65.0,13.2,13.0,2.0,11.0,2.0,6.0,3.0,0.0,6.0,6.0,3.95
9,2019,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.1,7.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,8.0,54.0
10,nan,通　算,83.0,7.0,11.0,0.0,10.0,13.0,0.0,0.0,0.0,0.389,954.0,209.1,218.0,13.0,112.0,20.0,146.0,12.0,1.0,115.0,99.0,4.26
