,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,オリックス,17.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,316.0,73,65.0,5.0,35.0,2.0,44.0,3.0,1.0,35.0,34.0,4.19
1,2014,オリックス,21.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,468.0,113.2,95.0,7.0,45.0,2.0,88.0,7.0,1.0,41.0,35.0,2.77
2,2015,オリックス,18.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33299999999999996,360.0,80,81.0,8.0,47.0,1.0,42.0,3.0,0.0,42.0,38.0,4.28
3,2016,オリックス,28.0,7.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.43799999999999994,563.0,132.2,128.0,10.0,41.0,3.0,82.0,5.0,0.0,52.0,48.0,3.26
4,2017,オリックス,23.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,552.0,133.1,133.0,16.0,32.0,2.0,72.0,6.0,1.0,70.0,66.0,4.46
5,2018,オリックス,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,158.0,36.1,40.0,6.0,15.0,0.0,23.0,0.0,0.0,22.0,21.0,5.2
6,2019,オリックス,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,22.2,26.0,3.0,9.0,3.0,13.0,0.0,0.0,16.0,14.0,5.56
7,2019,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.2,5.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,10.13
8,2020,中　日,15.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,319.0,73.1,86.0,9.0,17.0,2.0,50.0,4.0,0.0,33.0,33.0,4.05
9,2021,中　日,14.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,309.0,76,74.0,7.0,15.0,2.0,41.0,3.0,0.0,30.0,27.0,3.2
10,2022,中　日,19.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,404.0,100,96.0,4.0,18.0,2.0,51.0,0.0,0.0,38.0,37.0,3.33
11,nan,通　算,169.0,42.0,58.0,0.0,0.0,2.0,1.0,0.0,0.0,0.42,3569.0,843.2,829.0,75.0,277.0,19.0,506.0,31.0,3.0,382.0,356.0,3.8
