,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2009,北海道日本ハム,24.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,127.0,27.2,25.0,4.0,20.0,1.0,20.0,1.0,1.0,18.0,17.0,5.53
1,2010,北海道日本ハム,14.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.33299999999999996,68.0,15.2,18.0,2.0,4.0,0.0,12.0,1.0,0.0,10.0,10.0,5.74
2,2011,北海道日本ハム,47.0,1.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.33299999999999996,199.0,47.1,51.0,4.0,16.0,1.0,45.0,2.0,0.0,13.0,13.0,2.47
3,2012,北海道日本ハム,28.0,2.0,2.0,0.0,7.0,8.0,0.0,0.0,0.0,0.5,257.0,61.1,61.0,3.0,16.0,1.0,39.0,1.0,1.0,24.0,24.0,3.52
4,2013,北海道日本ハム,31.0,6.0,6.0,1.0,3.0,7.0,0.0,0.0,0.0,0.5,388.0,89.1,92.0,10.0,38.0,2.0,53.0,2.0,0.0,45.0,39.0,3.93
5,2014,北海道日本ハム,52.0,5.0,1.0,1.0,12.0,17.0,0.0,0.0,0.0,0.833,260.0,68,41.0,4.0,19.0,2.0,63.0,3.0,2.0,14.0,12.0,1.59
6,2015,北海道日本ハム,61.0,4.0,2.0,0.0,20.0,24.0,0.0,0.0,0.0,0.667,241.0,56.2,54.0,0.0,15.0,2.0,47.0,1.0,0.0,21.0,20.0,3.18
7,2016,北海道日本ハム,58.0,3.0,2.0,3.0,28.0,31.0,0.0,0.0,0.0,0.6,206.0,50.1,41.0,4.0,16.0,1.0,44.0,0.0,0.0,14.0,13.0,2.32
8,2017,北海道日本ハム,36.0,0.0,2.0,1.0,21.0,21.0,0.0,0.0,0.0,0.0,141.0,32.2,26.0,3.0,16.0,1.0,24.0,0.0,1.0,15.0,12.0,3.31
9,2017,中　日,18.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,80.0,18,20.0,4.0,6.0,0.0,14.0,0.0,0.0,12.0,12.0,6.0
10,2018,中　日,8.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,56.0,9.2,22.0,2.0,3.0,0.0,8.0,1.0,0.0,20.0,16.0,14.9
11,2019,中　日,38.0,0.0,1.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,143.0,29.1,31.0,2.0,21.0,5.0,24.0,3.0,0.0,17.0,17.0,5.22
12,2020,中　日,36.0,1.0,3.0,0.0,13.0,14.0,0.0,0.0,0.0,0.25,122.0,30,20.0,3.0,13.0,0.0,21.0,1.0,0.0,13.0,12.0,3.6
13,nan,通　算,451.0,27.0,24.0,6.0,134.0,158.0,0.0,0.0,0.0,0.529,2288.0,536,502.0,45.0,203.0,16.0,414.0,16.0,5.0,236.0,217.0,3.64
