,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,中　日,17,18,16,2,3,1,0,1,7,1,0,0,0,0,2,0,7,0,0.188,0.43799999999999994,0.278
1,2010,中　日,15,13,12,1,2,0,0,0,2,0,0,0,0,0,0,1,6,0,0.16699999999999998,0.16699999999999998,0.231
2,2011,中　日,12,17,17,3,4,0,0,2,10,2,0,0,0,0,0,0,7,1,0.235,0.588,0.235
3,2012,中　日,49,53,51,2,9,1,0,1,13,2,0,1,0,0,1,1,20,0,0.17600000000000002,0.255,0.20800000000000002
4,2013,中　日,4,7,7,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0.28600000000000003,0.28600000000000003,0.28600000000000003
5,2014,中　日,10,12,12,1,3,1,0,0,4,0,0,0,0,0,0,0,4,1,0.25,0.33299999999999996,0.25
6,2015,中　日,79,185,169,12,41,6,2,6,69,23,0,0,0,2,14,0,62,7,0.243,0.408,0.297
7,2016,中　日,89,306,270,28,72,8,0,10,110,37,0,1,0,2,28,6,42,9,0.267,0.40700000000000003,0.34600000000000003
8,2017,中　日,95,326,299,37,81,19,0,18,154,49,0,1,0,1,21,5,70,4,0.271,0.515,0.32799999999999996
9,2018,中　日,133,487,440,50,115,22,1,13,178,63,0,0,0,5,37,5,119,13,0.261,0.405,0.322
10,2019,中　日,105,352,310,55,89,18,0,18,161,66,0,1,0,5,32,5,69,7,0.287,0.519,0.358
11,2020,中　日,64,216,195,18,48,11,1,5,76,24,0,0,0,1,18,2,43,7,0.24600000000000002,0.39,0.315
12,2021,中　日,110,305,279,21,68,21,2,8,117,28,1,2,0,1,22,3,49,6,0.244,0.419,0.305
13,nan,通　算,782,2297,2077,230,537,108,6,82,903,295,1,6,0,17,175,28,500,55,0.259,0.435,0.322
