,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2002,中　日,31.0,6.0,3.0,0.0,,,0.0,0.0,0.0,0.667,372.0,84.2,92.0,7.0,34.0,7.0,68.0,8.0,0.0,40.0,37.0,3.93
1,2003,中　日,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,27.0,5.2,11.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,3.0,4.76
2,2004,中　日,8.0,2.0,1.0,0.0,,,1.0,1.0,0.0,0.667,117.0,27,29.0,4.0,16.0,0.0,31.0,1.0,0.0,10.0,10.0,3.33
3,2005,中　日,27.0,3.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.375,440.0,106.2,102.0,14.0,31.0,5.0,90.0,3.0,1.0,53.0,49.0,4.13
4,2007,中　日,14.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,353.0,83,75.0,6.0,32.0,1.0,56.0,1.0,0.0,36.0,31.0,3.36
5,2008,中　日,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9,5.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0
6,2009,中　日,17.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,170.0,36.2,42.0,6.0,20.0,2.0,29.0,6.0,0.0,29.0,26.0,6.38
7,2010,中　日,19.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.636,464.0,110.1,105.0,10.0,39.0,5.0,84.0,5.0,0.0,49.0,46.0,3.75
8,2011,中　日,10.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,203.0,45.2,51.0,3.0,18.0,1.0,35.0,1.0,0.0,24.0,22.0,4.34
9,2012,中　日,56.0,4.0,3.0,15.0,13.0,16.0,0.0,0.0,0.0,0.5710000000000001,385.0,101,71.0,3.0,23.0,2.0,80.0,3.0,0.0,20.0,16.0,1.43
10,2013,中　日,23.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.455,434.0,97.2,105.0,11.0,44.0,4.0,63.0,0.0,0.0,48.0,45.0,4.15
11,2014,中　日,27.0,13.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.722,716.0,173.2,156.0,13.0,66.0,4.0,103.0,1.0,0.0,64.0,62.0,3.21
12,2015,中　日,33.0,4.0,12.0,2.0,5.0,6.0,0.0,0.0,0.0,0.25,589.0,140,132.0,13.0,50.0,2.0,79.0,7.0,0.0,69.0,61.0,3.92
13,2016,中　日,33.0,1.0,8.0,0.0,7.0,8.0,0.0,0.0,0.0,0.111,276.0,63.2,60.0,9.0,23.0,4.0,45.0,5.0,0.0,33.0,32.0,4.52
14,2017,中　日,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,12,8.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,1.5
15,2018,中　日,10.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.33299999999999996,259.0,62.1,55.0,12.0,21.0,1.0,43.0,2.0,0.0,28.0,28.0,4.04
16,2019,中　日,13.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,279.0,65,66.0,13.0,24.0,3.0,37.0,2.0,0.0,35.0,35.0,4.85
17,2020,中　日,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8,12.0,1.0,5.0,1.0,5.0,1.0,0.0,8.0,8.0,9.0
18,nan,通　算,335.0,62.0,70.0,20.0,32.0,38.0,6.0,5.0,0.0,0.47,5200.0,1232,1177.0,127.0,448.0,43.0,866.0,46.0,1.0,554.0,514.0,3.75
