,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,中　日,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,13.1,10.0,1.0,3.0,0.0,10.0,0.0,0.0,4.0,4.0,2.7
1,2007,中　日,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,14.2,25.0,5.0,7.0,0.0,14.0,1.0,0.0,14.0,12.0,7.36
2,2008,中　日,35.0,10.0,3.0,0.0,10.0,13.0,3.0,2.0,0.0,0.769,476.0,114.1,118.0,11.0,25.0,4.0,82.0,1.0,0.0,46.0,41.0,3.23
3,2009,中　日,27.0,16.0,7.0,0.0,1.0,2.0,5.0,4.0,3.0,0.696,750.0,189.1,166.0,10.0,33.0,3.0,147.0,6.0,1.0,52.0,42.0,2.0
4,2010,中　日,25.0,12.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5710000000000001,659.0,156.2,159.0,19.0,25.0,5.0,115.0,5.0,0.0,67.0,61.0,3.5
5,2011,中　日,26.0,18.0,3.0,0.0,0.0,1.0,5.0,3.0,3.0,0.857,734.0,190.2,143.0,8.0,23.0,4.0,120.0,0.0,0.0,38.0,35.0,1.65
6,2012,中　日,19.0,13.0,4.0,0.0,0.0,0.0,6.0,2.0,3.0,0.765,529.0,138.2,121.0,5.0,13.0,0.0,76.0,1.0,0.0,28.0,27.0,1.75
7,2013,中　日,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,157.0,36.1,40.0,5.0,10.0,0.0,29.0,0.0,0.0,19.0,19.0,4.71
8,2014,中　日,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,15,16.0,4.0,2.0,0.0,6.0,0.0,0.0,8.0,7.0,4.2
9,2015,中　日,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,48,34.0,0.0,12.0,1.0,39.0,1.0,0.0,5.0,5.0,0.94
10,2016,中　日,21.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.462,535.0,131.1,134.0,11.0,27.0,0.0,81.0,1.0,0.0,49.0,45.0,3.08
11,2017,中　日,14.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,334.0,75.2,93.0,8.0,14.0,1.0,38.0,0.0,0.0,49.0,44.0,5.23
12,2018,中　日,20.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.41700000000000004,516.0,125.2,136.0,15.0,24.0,4.0,61.0,1.0,1.0,54.0,54.0,3.87
13,2019,中　日,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,96.0,19.2,30.0,0.0,4.0,2.0,17.0,1.0,0.0,14.0,14.0,6.41
14,2020,中　日,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,77.0,17.2,21.0,6.0,3.0,2.0,10.0,0.0,0.0,11.0,11.0,5.6
15,nan,通　算,223.0,90.0,56.0,0.0,11.0,16.0,22.0,13.0,10.0,0.616,5238.0,1287,1246.0,108.0,225.0,26.0,845.0,18.0,2.0,458.0,421.0,2.94
