,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,中　日,40,44,41,10,6,2,0,0,8,0,1,1,2,0,0,1,7,0,0.146,0.195,0.16699999999999998
1,2007,中　日,76,71,64,14,13,3,0,1,19,5,7,2,4,1,2,0,19,0,0.203,0.297,0.22399999999999998
2,2008,中　日,40,39,35,10,6,1,0,2,13,2,2,1,3,0,1,0,9,0,0.171,0.371,0.19399999999999998
3,2009,中　日,114,438,401,50,120,26,1,10,178,49,15,1,11,2,23,1,79,4,0.299,0.444,0.337
4,2010,中　日,63,184,166,17,39,6,3,1,54,8,3,1,9,1,7,1,38,1,0.235,0.325,0.26899999999999996
5,2011,中　日,20,58,50,7,12,2,0,0,14,3,1,0,5,0,1,2,13,1,0.24,0.28,0.28300000000000003
6,2012,中　日,54,62,56,5,11,2,0,0,13,3,1,1,1,1,4,0,13,1,0.196,0.23199999999999998,0.24600000000000002
7,2013,中　日,108,259,238,27,72,10,0,6,100,19,5,2,2,3,14,2,53,4,0.303,0.42,0.342
8,2014,中　日,88,300,266,35,73,13,3,6,110,36,2,2,6,2,25,1,55,2,0.27399999999999997,0.414,0.337
9,2015,中　日,118,315,275,28,81,9,3,6,114,45,3,0,11,4,23,2,69,4,0.295,0.415,0.349
10,2016,中　日,87,187,167,15,36,5,1,3,52,19,0,0,6,2,12,0,45,3,0.21600000000000003,0.311,0.265
11,2017,中　日,128,408,374,29,99,18,3,6,141,42,5,6,6,2,24,2,96,6,0.265,0.377,0.311
12,2018,中　日,96,162,145,21,35,8,0,3,52,30,0,0,0,5,12,0,36,1,0.24100000000000002,0.359,0.29
13,2019,中　日,61,154,141,12,31,8,1,1,44,12,1,0,0,1,11,1,33,3,0.22,0.312,0.27899999999999997
14,nan,通　算,1093,2681,2419,280,634,113,15,45,912,273,46,17,66,24,159,13,565,30,0.262,0.377,0.308
