,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,オリックス,9,23,21,2,5,2,0,0,7,0,0,0,1,0,1,0,6,0,0.23800000000000002,0.33299999999999996,0.273
1,2013,オリックス,21,14,10,2,1,1,0,0,2,2,0,0,1,0,3,0,4,0,0.1,0.2,0.308
2,2014,オリックス,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
3,2014,中　日,29,41,36,3,5,0,1,1,10,4,0,0,4,1,0,0,10,1,0.139,0.278,0.135
4,2015,中　日,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
5,2016,中　日,15,19,16,1,2,0,0,0,2,0,0,0,2,0,1,0,4,0,0.125,0.125,0.17600000000000002
6,2017,中　日,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
7,2019,中　日,21,33,27,2,3,2,0,0,5,0,0,0,2,0,4,0,6,1,0.111,0.185,0.226
8,2020,中　日,8,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0.16699999999999998,0.16699999999999998,0.16699999999999998
9,nan,通　算,114,138,118,11,17,5,1,1,27,6,0,1,10,1,9,0,33,2,0.14400000000000002,0.22899999999999998,0.203
