,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,中　日,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2007,中　日,3,13,12,1,4,0,0,0,4,3,0,1,0,0,0,1,4,0,0.33299999999999996,0.33299999999999996,0.385
2,2008,中　日,59,111,97,9,26,3,0,1,32,9,0,1,5,2,6,1,25,4,0.268,0.33,0.311
3,2009,中　日,42,95,85,13,23,7,3,2,42,9,0,0,0,1,8,1,19,2,0.271,0.494,0.337
4,2010,中　日,6,12,12,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0.083,0.083,0.083
5,2011,中　日,113,376,330,39,84,15,6,11,144,38,1,2,7,0,38,1,72,10,0.255,0.436,0.33299999999999996
6,2012,中　日,91,301,269,28,58,4,1,11,97,32,1,0,1,2,28,1,59,9,0.21600000000000003,0.361,0.29
7,2013,中　日,118,414,367,54,106,22,3,15,179,55,1,2,1,1,41,4,54,13,0.289,0.488,0.366
8,2014,中　日,119,488,429,55,119,17,1,11,171,65,7,2,0,4,54,1,65,13,0.27699999999999997,0.39899999999999997,0.35700000000000004
9,2015,中　日,130,559,491,76,139,27,3,13,211,53,11,7,1,0,64,3,86,5,0.28300000000000003,0.43,0.369
10,2016,中　日,118,494,416,61,103,24,1,14,171,73,4,2,0,4,72,2,89,5,0.248,0.41100000000000003,0.358
11,2017,中　日,66,270,238,26,58,14,2,6,94,29,4,0,0,2,29,1,60,4,0.244,0.395,0.326
12,2018,中　日,138,568,493,83,162,26,5,9,225,55,8,7,2,3,67,3,69,7,0.32899999999999996,0.456,0.41
13,2019,中　日,95,407,360,52,100,21,4,8,153,32,3,6,1,4,38,4,53,8,0.278,0.425,0.35
14,2020,中　日,55,193,166,26,39,7,0,3,55,17,0,1,0,1,24,2,33,4,0.235,0.331,0.337
15,2021,中　日,21,62,58,3,9,2,2,0,15,4,1,0,0,0,3,1,13,1,0.155,0.259,0.21
16,2022,中　日,51,83,75,8,15,3,0,1,21,10,0,0,0,0,7,1,20,2,0.2,0.28,0.27699999999999997
17,nan,通　算,1227,4448,3900,534,1046,192,31,105,1615,484,41,31,18,24,479,27,726,87,0.268,0.414,0.35
