,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,北海道日本ハム,77,169,154,19,32,9,0,3,50,15,0,0,5,0,6,4,43,2,0.20800000000000002,0.325,0.256
1,2010,北海道日本ハム,87,216,183,20,42,8,0,4,62,16,1,0,13,0,19,1,36,5,0.23,0.33899999999999997,0.305
2,2011,北海道日本ハム,102,272,242,25,55,11,1,3,77,17,0,1,8,0,14,8,44,4,0.22699999999999998,0.318,0.292
3,2012,北海道日本ハム,70,159,140,7,24,4,0,2,34,11,0,2,9,0,8,2,30,2,0.171,0.243,0.22699999999999998
4,2013,北海道日本ハム,87,244,201,20,52,13,0,3,74,19,0,0,15,0,25,3,35,3,0.259,0.368,0.349
5,2014,北海道日本ハム,105,304,259,16,45,10,0,6,73,19,0,0,19,2,19,5,52,6,0.174,0.282,0.242
6,2015,北海道日本ハム,74,180,155,10,30,8,0,0,38,10,1,0,8,0,16,1,29,6,0.19399999999999998,0.245,0.273
7,2016,北海道日本ハム,109,351,282,26,69,13,0,5,97,35,1,0,31,0,25,13,63,6,0.245,0.344,0.33399999999999996
8,2017,北海道日本ハム,83,183,154,13,34,5,0,3,48,13,0,1,8,1,16,4,30,1,0.221,0.312,0.309
9,2018,中　日,63,167,137,9,27,4,2,2,41,10,0,0,9,0,20,1,31,2,0.19699999999999998,0.299,0.304
10,2019,中　日,34,62,53,6,9,1,0,0,10,3,0,0,3,1,5,0,9,2,0.17,0.18899999999999997,0.237
11,2021,中　日,8,15,14,1,2,0,0,0,2,0,0,0,0,0,1,0,5,1,0.14300000000000002,0.14300000000000002,0.2
12,2022,中　日,8,21,17,2,5,0,0,0,5,0,0,1,1,0,3,0,4,0,0.294,0.294,0.4
13,nan,通　算,907,2343,1991,174,426,86,3,31,611,168,3,5,129,4,177,42,411,40,0.214,0.307,0.29100000000000004
