,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,1999,中　日,132,526,461,76,131,25,2,16,208,52,4,7,8,2,50,5,121,3,0.284,0.451,0.359
1,2000,中　日,97,368,316,50,80,18,2,13,141,42,8,5,2,2,45,3,79,5,0.253,0.446,0.35
2,2001,中　日,120,442,375,51,94,22,2,15,165,56,8,4,4,3,56,4,90,4,0.251,0.44,0.35200000000000004
3,2002,中　日,140,608,542,85,186,42,3,19,291,65,4,2,0,5,56,5,96,4,0.34299999999999997,0.537,0.406
4,2003,中　日,140,617,528,107,165,30,11,34,319,96,10,5,1,6,78,4,118,5,0.313,0.604,0.401
5,2004,中　日,92,404,350,61,97,19,7,23,199,81,8,3,1,2,48,3,93,3,0.27699999999999997,0.569,0.36700000000000005
6,2005,中　日,142,612,515,102,169,39,6,28,304,103,13,5,0,3,93,1,128,8,0.32799999999999996,0.59,0.43
7,2006,中　日,130,578,496,117,174,47,5,31,324,104,11,2,0,3,76,3,94,4,0.35100000000000003,0.653,0.43799999999999994
8,2007,中　日,81,348,269,64,79,22,0,13,140,48,5,2,0,4,69,6,66,5,0.294,0.52,0.44299999999999995
9,2013,阪　神,63,241,212,18,42,11,0,6,71,31,0,1,0,0,28,1,43,1,0.198,0.335,0.295
10,2014,阪　神,104,367,312,20,79,8,0,9,114,34,1,1,3,4,47,1,48,11,0.253,0.365,0.349
11,2015,阪　神,140,569,495,53,139,24,3,20,229,76,1,2,1,7,65,1,75,15,0.281,0.46299999999999997,0.361
12,2016,阪　神,131,523,453,52,141,25,3,11,205,59,0,1,0,6,61,3,78,6,0.311,0.45299999999999996,0.392
13,2017,阪　神,127,526,441,68,116,20,3,18,196,79,1,2,1,4,77,3,92,17,0.263,0.444,0.373
14,2018,阪　神,123,499,414,57,116,26,2,14,188,72,2,1,0,7,73,5,90,10,0.28,0.45399999999999996,0.389
15,2019,阪　神,104,403,348,39,89,16,1,10,137,47,0,0,2,3,49,1,85,5,0.256,0.39399999999999996,0.34700000000000003
16,2020,阪　神,43,92,78,3,12,2,0,1,17,12,0,0,0,3,11,0,31,4,0.154,0.218,0.25
17,2021,中　日,91,216,193,17,42,12,0,4,66,18,0,0,0,0,23,0,56,5,0.218,0.342,0.301
18,nan,通　算,2000,7939,6798,1040,1951,408,50,285,3314,1075,76,43,23,64,1005,49,1483,115,0.287,0.48700000000000004,0.38
