,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,千葉ロッテ,23,28,26,2,4,0,0,1,7,1,0,1,2,0,0,0,8,0,0.154,0.26899999999999996,0.154
1,2014,千葉ロッテ,98,342,320,43,81,16,2,3,110,18,5,5,10,0,8,4,71,2,0.253,0.344,0.28
2,2015,千葉ロッテ,21,63,57,3,13,1,0,0,14,2,2,0,3,0,3,0,11,0,0.228,0.24600000000000002,0.267
3,2016,千葉ロッテ,80,246,216,29,53,8,3,0,67,12,6,1,16,0,13,1,46,1,0.245,0.31,0.29100000000000004
4,2017,千葉ロッテ,98,292,271,24,72,12,5,5,109,27,7,4,12,2,6,1,44,2,0.266,0.402,0.282
5,2018,千葉ロッテ,69,132,121,12,28,6,2,0,38,9,7,0,4,1,5,1,25,3,0.231,0.314,0.266
6,2019,千葉ロッテ,60,120,109,12,22,3,1,4,39,9,4,2,2,0,7,2,32,2,0.20199999999999999,0.358,0.263
7,2020,千葉ロッテ,22,79,70,13,21,5,1,0,28,3,3,2,0,0,8,1,15,0,0.3,0.4,0.38
8,2021,千葉ロッテ,20,44,41,3,9,2,1,1,16,2,0,1,2,0,1,0,8,0,0.22,0.39,0.23800000000000002
9,2021,中　日,55,128,110,13,23,2,0,1,28,2,8,1,7,0,11,0,19,2,0.209,0.255,0.281
10,nan,通　算,546,1474,1341,154,326,55,15,15,456,85,42,17,58,3,62,10,279,12,0.243,0.34,0.281
