,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,オリックス,2,8,8,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0.25,0.375,0.25
1,2014,オリックス,5,10,8,1,1,1,0,0,2,1,0,0,1,0,1,0,3,0,0.125,0.25,0.222
2,2015,オリックス,9,16,14,0,1,0,0,0,1,0,0,0,1,0,1,0,4,0,0.071,0.071,0.133
3,2016,オリックス,10,20,20,1,2,2,0,0,4,1,0,0,0,0,0,0,3,0,0.1,0.2,0.1
4,2017,オリックス,97,219,207,19,61,8,0,2,75,14,0,0,4,0,5,3,47,3,0.295,0.36200000000000004,0.321
5,2018,オリックス,69,107,95,12,21,4,1,1,30,12,0,0,5,3,2,2,20,2,0.221,0.316,0.245
6,2019,オリックス,6,9,8,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0.125,0.125,0.222
7,2019,中　日,29,36,35,2,5,0,0,0,5,1,0,0,1,0,0,0,12,2,0.14300000000000002,0.14300000000000002,0.14300000000000002
8,2020,中　日,84,64,55,9,10,2,0,0,12,2,1,0,3,1,5,0,13,2,0.182,0.218,0.24600000000000002
9,2021,中　日,93,41,38,8,5,2,0,1,10,1,0,0,2,0,1,0,17,1,0.132,0.263,0.154
10,nan,通　算,404,530,488,53,109,20,1,4,143,32,2,0,17,4,15,6,120,10,0.223,0.293,0.253
