,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,中　日,54.0,0.0,3.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,240.0,58.2,52.0,6.0,19.0,1.0,36.0,3.0,0.0,25.0,23.0,3.53
1,2015,中　日,33.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,144.0,33.1,32.0,1.0,7.0,2.0,28.0,2.0,0.0,10.0,10.0,2.7
2,2016,中　日,46.0,0.0,4.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,177.0,43,32.0,3.0,18.0,2.0,31.0,1.0,0.0,18.0,15.0,3.14
3,2017,中　日,35.0,2.0,2.0,1.0,9.0,11.0,0.0,0.0,0.0,0.5,173.0,42,38.0,1.0,17.0,0.0,26.0,0.0,0.0,12.0,12.0,2.57
4,2018,中　日,51.0,2.0,2.0,0.0,17.0,19.0,0.0,0.0,0.0,0.5,208.0,48.2,45.0,5.0,19.0,0.0,36.0,0.0,0.0,19.0,17.0,3.14
5,2019,中　日,44.0,3.0,4.0,1.0,3.0,6.0,0.0,0.0,0.0,0.429,187.0,46.1,42.0,3.0,14.0,1.0,27.0,2.0,0.0,16.0,16.0,3.11
6,2020,中　日,54.0,2.0,0.0,3.0,28.0,30.0,0.0,0.0,0.0,1.0,195.0,50.1,42.0,1.0,7.0,0.0,35.0,2.0,0.0,10.0,10.0,1.79
7,2021,中　日,55.0,1.0,2.0,5.0,19.0,20.0,0.0,0.0,0.0,0.33299999999999996,208.0,48.2,59.0,1.0,9.0,1.0,30.0,0.0,0.0,18.0,14.0,2.59
8,2022,中　日,46.0,4.0,3.0,1.0,17.0,21.0,0.0,0.0,0.0,0.5710000000000001,179.0,42.2,42.0,3.0,13.0,1.0,32.0,1.0,0.0,21.0,18.0,3.8
9,nan,通　算,418.0,14.0,22.0,12.0,118.0,132.0,0.0,0.0,0.0,0.389,1711.0,413.2,384.0,24.0,123.0,8.0,281.0,11.0,0.0,149.0,135.0,2.94
