,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,横　浜,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,198.0,47,42.0,2.0,20.0,2.0,39.0,1.0,0.0,13.0,12.0,2.3
1,2012,横浜DeNA,19.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,498.0,112.2,108.0,10.0,59.0,2.0,95.0,4.0,0.0,57.0,46.0,3.67
2,2013,横浜DeNA,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.667,93.0,19.1,27.0,2.0,6.0,5.0,10.0,0.0,0.0,16.0,16.0,7.45
3,2014,横浜DeNA,49.0,2.0,3.0,2.0,14.0,16.0,0.0,0.0,0.0,0.4,267.0,62.1,61.0,4.0,23.0,1.0,59.0,4.0,0.0,29.0,24.0,3.47
4,2015,横浜DeNA,28.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.6,138.0,33.1,22.0,1.0,16.0,3.0,28.0,4.0,0.0,10.0,9.0,2.43
5,2016,横浜DeNA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.2,4.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,21.6
6,2017,横浜DeNA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8,5.0,0.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,2.25
7,2018,横浜DeNA,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,75.0,16.2,17.0,2.0,9.0,0.0,15.0,1.0,0.0,9.0,9.0,4.86
8,2019,横浜DeNA,53.0,5.0,3.0,0.0,9.0,14.0,0.0,0.0,0.0,0.625,299.0,69.1,62.0,9.0,28.0,2.0,81.0,3.0,0.0,37.0,37.0,4.8
9,2020,横浜DeNA,42.0,3.0,4.0,0.0,10.0,13.0,0.0,0.0,0.0,0.429,191.0,46,36.0,5.0,22.0,4.0,51.0,1.0,0.0,18.0,16.0,3.13
10,nan,通　算,220.0,20.0,29.0,3.0,34.0,48.0,1.0,1.0,0.0,0.408,1801.0,416.1,384.0,35.0,190.0,19.0,383.0,21.0,0.0,195.0,175.0,3.78
