,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,横　浜,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,103.0,25,22.0,6.0,10.0,0.0,12.0,1.0,0.0,11.0,11.0,3.96
1,2011,横　浜,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,6.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,6.0
2,2012,横浜DeNA,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,34.2,38.0,3.0,8.0,2.0,27.0,1.0,0.0,19.0,18.0,4.67
3,2013,横浜DeNA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,13,16.0,4.0,6.0,0.0,11.0,0.0,0.0,7.0,7.0,4.85
4,2014,横浜DeNA,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68.0,15.1,21.0,1.0,3.0,1.0,17.0,1.0,0.0,8.0,7.0,4.11
5,2015,横浜DeNA,35.0,2.0,2.0,1.0,16.0,18.0,0.0,0.0,0.0,0.5,140.0,32.2,29.0,1.0,16.0,0.0,29.0,3.0,0.0,9.0,8.0,2.2
6,2016,横浜DeNA,61.0,5.0,3.0,0.0,23.0,28.0,0.0,0.0,0.0,0.625,197.0,44,46.0,2.0,18.0,1.0,39.0,3.0,0.0,16.0,12.0,2.45
7,2017,横浜DeNA,60.0,1.0,3.0,0.0,11.0,12.0,0.0,0.0,0.0,0.25,205.0,48.1,43.0,3.0,23.0,1.0,36.0,2.0,0.0,26.0,24.0,4.47
8,2018,横浜DeNA,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,54.0,12.1,14.0,2.0,6.0,0.0,14.0,0.0,0.0,9.0,9.0,6.57
9,2021,横浜DeNA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.2,3.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
10,2022,横浜DeNA,47.0,3.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,1.0,160.0,37.2,31.0,5.0,14.0,2.0,25.0,1.0,0.0,14.0,11.0,2.63
11,nan,通　算,263.0,14.0,13.0,1.0,63.0,76.0,0.0,0.0,0.0,0.519,1173.0,270.2,269.0,28.0,106.0,8.0,217.0,13.0,0.0,123.0,109.0,3.62
