,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,読　売,18,33,30,2,7,2,0,1,12,6,2,0,2,1,0,0,11,0,0.233,0.4,0.226
1,2010,読　売,6,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.14300000000000002
2,2011,読　売,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
3,2012,読　売,16,31,26,1,7,0,1,0,9,1,1,0,0,0,5,0,7,0,0.26899999999999996,0.34600000000000003,0.387
4,2013,読　売,48,149,139,19,45,6,0,4,63,17,2,1,2,0,8,0,12,4,0.324,0.45299999999999996,0.361
5,2014,読　売,23,52,49,5,10,2,1,0,14,3,1,0,0,0,3,0,13,3,0.204,0.28600000000000003,0.25
6,2015,読　売,29,47,43,2,9,1,0,0,10,2,0,0,1,0,2,1,9,0,0.209,0.233,0.261
7,2016,読　売,43,61,51,3,10,2,1,0,14,4,0,0,1,1,7,1,13,0,0.196,0.275,0.3
8,2017,読　売,90,254,229,32,57,12,1,5,86,15,2,1,4,1,19,1,44,5,0.249,0.376,0.308
9,2018,読　売,70,97,86,8,16,5,0,1,24,6,0,0,3,0,6,2,25,3,0.18600000000000003,0.27899999999999997,0.255
10,2019,横浜DeNA,79,183,161,24,40,4,0,3,53,7,2,1,3,1,18,0,34,9,0.248,0.32899999999999996,0.322
11,2020,横浜DeNA,69,105,100,12,25,3,1,2,36,4,1,0,1,0,3,1,23,1,0.25,0.36,0.27899999999999997
12,nan,通　算,493,1021,922,109,226,37,5,16,321,65,11,3,17,4,71,7,195,25,0.245,0.348,0.303
