,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,読　売,17.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,386.0,97,76.0,4.0,28.0,3.0,54.0,3.0,1.0,27.0,20.0,1.86
1,2013,読　売,17.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,401.0,87.2,113.0,8.0,35.0,2.0,50.0,2.0,0.0,52.0,48.0,4.93
2,2014,読　売,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,64.0,14,22.0,3.0,3.0,1.0,6.0,2.0,0.0,11.0,10.0,6.43
3,2015,読　売,39.0,3.0,1.0,1.0,5.0,8.0,0.0,0.0,0.0,0.75,194.0,49,38.0,4.0,15.0,0.0,28.0,3.0,0.0,17.0,16.0,2.94
4,2016,読　売,34.0,4.0,1.0,0.0,6.0,10.0,0.0,0.0,0.0,0.8,162.0,39.2,38.0,6.0,9.0,0.0,14.0,0.0,0.0,14.0,13.0,2.95
5,2017,読　売,17.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.125,246.0,57,64.0,5.0,18.0,0.0,41.0,0.0,1.0,32.0,30.0,4.74
6,2018,読　売,29.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,133.0,32,27.0,4.0,10.0,3.0,25.0,0.0,0.0,8.0,7.0,1.97
7,2019,読　売,28.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,122.0,29.2,26.0,2.0,9.0,1.0,21.0,1.0,0.0,16.0,13.0,3.94
8,2020,読　売,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,25.1,27.0,5.0,8.0,0.0,22.0,1.0,0.0,15.0,15.0,5.33
9,2021,横浜DeNA,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,68.0,16,18.0,3.0,5.0,0.0,14.0,0.0,0.0,11.0,11.0,6.19
10,nan,通　算,208.0,22.0,22.0,1.0,19.0,26.0,1.0,1.0,0.0,0.5,1885.0,447.1,449.0,44.0,140.0,10.0,275.0,12.0,2.0,203.0,183.0,3.68
