,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,横浜DeNA,65.0,1.0,4.0,21.0,13.0,14.0,0.0,0.0,0.0,0.2,279.0,65.2,55.0,3.0,27.0,4.0,67.0,2.0,1.0,18.0,17.0,2.33
1,2015,横浜DeNA,21.0,1.0,1.0,0.0,9.0,10.0,0.0,0.0,0.0,0.5,93.0,22.1,16.0,0.0,9.0,1.0,20.0,3.0,0.0,3.0,2.0,0.81
2,2016,横浜DeNA,59.0,2.0,4.0,2.0,32.0,34.0,0.0,0.0,0.0,0.33299999999999996,241.0,58.2,47.0,7.0,18.0,2.0,36.0,2.0,0.0,21.0,17.0,2.61
3,2017,横浜DeNA,61.0,3.0,3.0,0.0,31.0,34.0,0.0,0.0,0.0,0.5,213.0,51,47.0,8.0,16.0,2.0,29.0,1.0,0.0,31.0,29.0,5.12
4,2018,横浜DeNA,65.0,1.0,1.0,0.0,25.0,26.0,0.0,0.0,0.0,0.5,239.0,56,55.0,3.0,20.0,3.0,40.0,2.0,0.0,19.0,19.0,3.05
5,2019,横浜DeNA,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,4.2,5.0,0.0,6.0,0.0,5.0,1.0,0.0,4.0,3.0,5.79
6,2020,横浜DeNA,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,13,13.0,0.0,6.0,1.0,7.0,1.0,0.0,4.0,4.0,2.77
7,2021,横浜DeNA,40.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.667,148.0,35,36.0,5.0,9.0,1.0,25.0,0.0,0.0,15.0,15.0,3.86
8,2022,横浜DeNA,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,24.2,28.0,3.0,8.0,1.0,19.0,0.0,0.0,10.0,10.0,3.65
9,nan,通　算,346.0,10.0,15.0,23.0,114.0,124.0,0.0,0.0,0.0,0.4,1399.0,331,302.0,29.0,119.0,15.0,248.0,12.0,1.0,125.0,116.0,3.15
