,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,横浜DeNA,34.0,6.0,9.0,0.0,1.0,1.0,2.0,1.0,0.0,0.4,642.0,146.1,138.0,20.0,79.0,0.0,145.0,6.0,1.0,67.0,64.0,3.94
1,2014,横浜DeNA,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,126.0,24,41.0,5.0,14.0,1.0,24.0,4.0,3.0,30.0,29.0,10.88
2,2015,横浜DeNA,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,384.0,88,84.0,9.0,34.0,3.0,67.0,9.0,0.0,52.0,47.0,4.81
3,2016,横浜DeNA,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,102.0,24,24.0,5.0,8.0,0.0,15.0,1.0,0.0,13.0,10.0,3.75
4,2017,横浜DeNA,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,20.2,29.0,4.0,9.0,0.0,17.0,4.0,0.0,17.0,15.0,6.53
5,2018,横浜DeNA,60.0,7.0,2.0,0.0,15.0,22.0,0.0,0.0,0.0,0.778,292.0,68,61.0,8.0,31.0,2.0,82.0,6.0,0.0,30.0,30.0,3.97
6,2019,横浜DeNA,71.0,5.0,4.0,0.0,23.0,28.0,0.0,0.0,0.0,0.556,309.0,72.2,67.0,10.0,31.0,0.0,62.0,2.0,0.0,36.0,35.0,4.33
7,2020,横浜DeNA,48.0,3.0,1.0,18.0,5.0,8.0,0.0,0.0,0.0,0.75,180.0,47.2,30.0,1.0,13.0,1.0,46.0,1.0,0.0,13.0,13.0,2.45
8,2021,横浜DeNA,59.0,3.0,5.0,23.0,1.0,4.0,0.0,0.0,0.0,0.375,246.0,57.1,66.0,8.0,12.0,0.0,57.0,3.0,0.0,31.0,26.0,4.08
9,2022,横浜DeNA,13.0,2.0,2.0,1.0,5.0,7.0,0.0,0.0,0.0,0.5,50.0,12.2,8.0,1.0,6.0,0.0,11.0,0.0,0.0,4.0,4.0,2.84
10,nan,通　算,333.0,33.0,32.0,42.0,50.0,70.0,2.0,1.0,0.0,0.508,2430.0,561.1,548.0,71.0,237.0,7.0,526.0,36.0,4.0,293.0,273.0,4.38
