,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,横浜DeNA,45,122,106,6,18,3,0,0,21,0,0,0,4,0,5,7,33,6,0.17,0.198,0.254
1,2013,横浜DeNA,51,124,110,6,15,4,0,0,19,4,0,0,7,0,6,1,42,2,0.136,0.17300000000000001,0.188
2,2014,横浜DeNA,48,76,69,8,10,1,1,0,13,4,0,0,0,0,5,2,28,0,0.145,0.188,0.22399999999999998
3,2015,横浜DeNA,64,148,129,9,26,7,0,1,36,9,0,0,7,0,8,4,32,6,0.20199999999999999,0.27899999999999997,0.27
4,2016,横浜DeNA,47,103,92,4,15,2,0,0,17,9,0,0,2,0,8,1,31,3,0.163,0.185,0.23800000000000002
5,2017,横浜DeNA,29,61,56,11,14,0,3,0,20,4,0,1,2,0,3,0,15,1,0.25,0.35700000000000004,0.28800000000000003
6,2018,横浜DeNA,28,75,66,7,9,1,0,0,10,3,2,0,4,1,2,2,25,1,0.136,0.152,0.183
7,2019,オリックス,5,12,11,1,2,0,0,0,2,0,0,0,0,0,1,0,4,0,0.182,0.182,0.25
8,2020,横浜DeNA,23,46,42,4,8,0,0,3,17,5,0,0,1,0,2,1,22,1,0.19,0.405,0.244
9,nan,通　算,340,767,681,56,117,18,4,4,155,38,2,1,27,1,40,18,232,20,0.172,0.228,0.23600000000000002
