,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,横浜DeNA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13,9.0,1.0,5.0,1.0,7.0,2.0,0.0,5.0,5.0,3.46
1,2015,横浜DeNA,28.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,140.0,32,29.0,2.0,14.0,1.0,27.0,4.0,0.0,12.0,12.0,3.38
2,2016,横浜DeNA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.1,7.0,2.0,3.0,1.0,2.0,0.0,0.0,9.0,8.0,21.6
3,2017,横浜DeNA,33.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,157.0,36.1,32.0,5.0,17.0,4.0,29.0,2.0,1.0,19.0,19.0,4.71
4,2018,横浜DeNA,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,25.2,35.0,3.0,6.0,0.0,27.0,0.0,0.0,19.0,19.0,6.66
5,2019,横浜DeNA,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,48.0,9.2,15.0,2.0,4.0,2.0,11.0,0.0,0.0,11.0,10.0,9.31
6,2020,横浜DeNA,43.0,1.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,0.5,195.0,44.1,38.0,2.0,25.0,2.0,46.0,3.0,0.0,16.0,14.0,2.84
7,2021,横浜DeNA,38.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,185.0,41.2,41.0,6.0,21.0,2.0,34.0,1.0,0.0,21.0,19.0,4.1
8,2022,横浜DeNA,47.0,4.0,3.0,0.0,10.0,14.0,0.0,0.0,0.0,0.5710000000000001,180.0,42,47.0,5.0,8.0,2.0,39.0,0.0,0.0,21.0,20.0,4.29
9,nan,通　算,227.0,7.0,7.0,1.0,30.0,36.0,0.0,0.0,0.0,0.5,1092.0,248,253.0,28.0,103.0,15.0,222.0,12.0,1.0,133.0,126.0,4.57
