,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,横浜DeNA,33,58,52,7,13,2,0,2,21,5,0,0,0,1,2,3,11,1,0.25,0.40399999999999997,0.31
1,2014,横浜DeNA,5,13,13,0,2,1,0,0,3,0,0,0,0,0,0,0,3,0,0.154,0.231,0.154
2,2015,横浜DeNA,58,163,152,13,44,8,0,1,55,10,0,0,0,1,6,4,21,5,0.289,0.36200000000000004,0.331
3,2016,横浜DeNA,101,335,302,31,88,16,0,11,137,36,0,0,0,0,25,8,30,12,0.29100000000000004,0.45399999999999996,0.361
4,2017,横浜DeNA,128,523,480,53,155,28,1,15,230,62,0,0,0,1,38,4,47,23,0.32299999999999995,0.479,0.377
5,2018,横浜DeNA,142,590,551,71,175,34,0,28,293,71,0,0,0,0,38,1,45,16,0.318,0.532,0.363
6,2019,横浜DeNA,114,473,433,54,123,22,1,15,192,49,0,0,0,5,32,3,35,13,0.284,0.44299999999999995,0.33399999999999996
7,2020,横浜DeNA,113,460,429,47,129,26,1,14,199,53,0,0,0,3,24,4,29,15,0.301,0.46399999999999997,0.341
8,2021,横浜DeNA,141,569,519,61,156,32,0,16,236,73,0,0,0,5,41,4,53,15,0.301,0.455,0.353
9,2022,横浜DeNA,122,482,434,51,130,24,1,16,204,50,0,0,0,2,44,2,35,16,0.3,0.47,0.365
10,nan,通　算,957,3666,3365,388,1015,193,4,118,1570,409,0,0,0,18,250,33,309,116,0.302,0.467,0.354
