,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,横浜DeNA,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
1,2013,横浜DeNA,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
2,2014,横浜DeNA,53,169,144,15,37,7,2,1,51,13,4,1,8,0,15,2,32,5,0.257,0.354,0.335
3,2015,横浜DeNA,60,116,103,14,19,4,1,1,28,5,1,1,8,0,5,0,26,1,0.184,0.272,0.222
4,2016,横浜DeNA,133,522,462,80,131,23,2,11,191,49,19,11,8,0,38,14,93,5,0.284,0.413,0.35600000000000004
5,2017,横浜DeNA,143,664,598,87,161,38,5,13,248,52,10,11,10,0,45,11,116,8,0.26899999999999996,0.415,0.332
6,2018,横浜DeNA,127,421,379,57,99,24,5,9,160,26,17,3,7,0,32,3,71,3,0.261,0.42200000000000004,0.324
7,2019,横浜DeNA,72,115,102,14,19,3,1,2,30,7,2,0,3,0,9,1,26,0,0.18600000000000003,0.294,0.259
8,2020,横浜DeNA,34,42,36,8,5,0,0,1,8,2,0,0,1,1,3,1,11,2,0.139,0.222,0.22
9,nan,通　算,630,2058,1833,275,472,99,16,38,717,154,53,27,45,1,147,32,379,24,0.258,0.391,0.32299999999999995
